NU_ANO,TP_ESCOLA,TP_SEXO,SG_UF_PROVA,QTD
2021,3,F,PR,5650
2021,3,F,RJ,12729
2021,3,F,RN,1971
2021,3,F,RO,270
2021,3,F,RR,100
2021,3,F,RS,4172
2021,3,F,SC,3143
2021,3,F,SE,1669
2021,3,F,SP,28175
2021,3,F,TO,395
2021,3,M,AC,134
2021,3,M,AL,1496
2021,3,M,AM,708
2021,3,M,AP,262
2021,3,M,BA,5319
2021,3,M,CE,3542
2021,3,M,DF,2605
2021,3,M,ES,1293
2021,3,M,GO,2783
2021,3,M,MA,1401
2021,3,M,MG,6934
2021,3,M,MS,873
2021,3,M,MT,1078
2021,3,M,PA,2895
2021,3,M,PB,2200
2021,3,M,PE,4025
2021,3,M,PI,1568
2021,3,M,PR,4850
2021,3,M,RJ,10432
2021,3,M,RN,1683
2021,3,M,RO,238
2021,3,M,RR,65
2021,3,M,RS,3380
2021,3,M,SC,2665
2021,3,M,SE,1363
2021,3,M,SP,23757
2021,3,M,TO,316
2022,1,F,AC,9783
2022,1,F,AL,26238
2022,1,F,AM,26039
2022,1,F,AP,9907
2022,1,F,BA,120404
2022,1,F,CE,66860
2022,1,F,DF,25191
2022,1,F,ES,23384
2022,1,F,GO,45690
2022,1,F,MA,56746
2022,1,F,MG,131903
2022,1,F,MS,16286
2022,1,F,MT,22586
2022,1,F,PA,91746
2022,1,F,PB,43073
2022,1,F,PE,76029
2022,1,F,PI,36682
2022,1,F,PR,50177
2022,1,F,RJ,98089
2022,1,F,RN,37604
2022,1,F,RO,12097
2022,1,F,RR,3446
2022,1,F,RS,59738
2022,1,F,SC,26795
2022,1,F,SE,24952
2022,1,F,SP,190425
2022,1,F,TO,11295
2022,1,M,AC,6185
2022,1,M,AL,16317
2022,1,M,AM,17316
2022,1,M,AP,6352
2022,1,M,BA,64267
2022,1,M,CE,45478
2022,1,M,DF,15789
2022,1,M,ES,14272
2022,1,M,GO,26192
2022,1,M,MA,33934
2022,1,M,MG,77673
2022,1,M,MS,9954
2022,1,M,MT,13557
2022,1,M,PA,54654
2022,1,M,PB,28482
2022,1,M,PE,47190
2022,1,M,PI,22950
2022,1,M,PR,31328
2022,1,M,RJ,59829
2022,1,M,RN,25833
2022,1,M,RO,6627
2022,1,M,RR,2054
2022,1,M,RS,35420
2022,1,M,SC,15445
2022,1,M,SE,15236
2022,1,M,SP,116613
2022,1,M,TO,6433
2022,2,F,AC,3572
2022,2,F,AL,10558
2022,2,F,AM,20106
2022,2,F,AP,3386
2022,2,F,BA,43501
2022,2,F,CE,54892
2022,2,F,DF,10992
2022,2,F,ES,13743
2022,2,F,GO,34686
2022,2,F,MA,23825
2022,2,F,MG,52313
2022,2,F,MS,9825
2022,2,F,MT,12552
2022,2,F,PA,30169
2022,2,F,PB,15536
2022,2,F,PE,33849
2022,2,F,PI,12669
2022,2,F,PR,35164
2022,2,F,RJ,43320
2022,2,F,RN,12006
2022,2,F,RO,7578
2022,2,F,RR,1651
2022,2,F,RS,30881
2022,2,F,SC,21341
2022,2,F,SE,9224
2022,2,F,SP,109553
2022,2,F,TO,6683
2022,2,M,AC,2676
2022,2,M,AL,7155
2022,2,M,AM,15810
2022,2,M,AP,2464
2022,2,M,BA,24502
2022,2,M,CE,51177
2022,2,M,DF,7276
2022,2,M,ES,9039
2022,2,M,GO,27761
2022,2,M,MA,15093
2022,2,M,MG,30950
2022,2,M,MS,6427
2022,2,M,MT,7926
2022,2,M,PA,19428
2022,2,M,PB,11049
2022,2,M,PE,23523
2022,2,M,PI,8489
2022,2,M,PR,21908
2022,2,M,RJ,24553
2022,2,M,RN,8373
2022,2,M,RO,5043
2022,2,M,RR,1047
2022,2,M,RS,17692
2022,2,M,SC,12341
2022,2,M,SE,5783
2022,2,M,SP,70079
2022,2,M,TO,4216
2022,3,F,AC,199
2022,3,F,AL,2039
2022,3,F,AM,874
2022,3,F,AP,277
2022,3,F,BA,6971
2022,3,F,CE,4143
2022,3,F,DF,3282
2022,3,F,ES,1671
2022,3,F,GO,3969
2022,3,F,MA,1807
2022,3,F,MG,9047
2022,3,F,MS,1184
2022,3,F,MT,1470
2022,3,F,PA,3555
2022,3,F,PB,2630
2022,3,F,PE,4844
2022,3,F,PI,1872
2022,3,F,PR,6232
2022,3,F,RJ,13724
2022,3,F,RN,2280
2022,3,F,RO,344
2022,3,F,RR,135
2022,3,F,RS,4626
2022,3,F,SC,3658
2022,3,F,SE,1669
2022,3,F,SP,30846
2022,3,F,TO,431
2022,3,M,AC,186
2022,3,M,AL,1638
2022,3,M,AM,841
2022,3,M,AP,288
