NU_ANO,TP_SEXO,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,F,6,PA,8184
2019,F,6,PB,3170
2019,F,6,PE,4802
2019,F,6,PI,2262
2019,F,6,PR,2921
2019,F,6,RJ,6487
2019,F,6,RN,2647
2019,F,6,RO,1748
2019,F,6,RR,288
2019,F,6,RS,4403
2019,F,6,SC,1289
2019,F,6,SE,1501
2019,F,6,SP,11108
2019,F,6,TO,752
2019,F,6,AC,522
2019,F,6,AL,1036
2019,F,6,AM,1955
2019,F,6,AP,831
2019,F,6,BA,5345
2019,F,6,CE,2254
2019,F,6,DF,1520
2019,F,6,ES,1290
2019,F,6,GO,1687
2019,F,6,MA,2274
2019,F,6,MG,5906
2019,F,6,MS,958
2019,F,6,MT,1204
2019,F,6,PA,4906
2019,F,6,PB,1678
2019,F,6,PE,3008
2019,F,6,PI,1325
2019,F,6,PR,1809
2019,F,6,RJ,4479
2019,F,6,RN,1519
2019,F,6,RO,946
2019,F,6,RR,161
2019,F,6,RS,2668
2019,F,6,SC,718
2019,F,6,SE,857
2019,F,6,SP,7276
2019,F,6,TO,388
2019,F,6,AC,232
2019,F,6,AL,602
2019,F,6,AM,1078
2019,F,6,AP,382
2019,F,6,BA,3089
2019,F,6,CE,1301
2019,F,6,DF,1036
2019,F,6,ES,805
2019,F,6,GO,936
2019,F,6,MA,1160
2019,F,6,MG,3771
2019,F,6,MS,518
2019,F,6,MT,673
2019,F,6,PA,2620
2019,F,6,PB,927
2019,F,6,PE,1833
2019,F,6,PI,742
2019,F,6,PR,939
2019,F,6,RJ,3221
2019,F,6,RN,874
2019,F,6,RO,450
2019,F,6,RR,79
2019,F,6,RS,1686
2019,F,6,SC,407
2019,F,6,SE,537
2019,F,6,SP,4556
2019,F,6,TO,189
2019,F,6,AC,77
2019,F,6,AL,282
2019,F,6,AM,446
2019,F,6,AP,201
2019,F,6,BA,1558
2019,F,6,CE,775
2019,F,6,DF,520
2019,F,6,ES,431
2019,F,6,GO,457
2019,F,6,MA,589
2019,F,6,MG,2205
2019,F,6,MS,275
2019,F,6,MT,333
2019,F,6,PA,1204
2019,F,6,PB,538
2019,F,6,PE,942
2019,F,6,PI,429
2019,F,6,PR,511
2019,F,6,RJ,2248
2019,F,6,RN,424
2019,F,6,RO,191
2019,F,6,RR,22
2019,F,6,RS,1071
2019,F,6,SC,191
2019,F,6,SE,241
2019,F,6,SP,2587
2019,F,6,TO,63
2019,F,6,AC,24
2019,F,6,AL,111
2019,F,6,AM,165
2019,F,6,AP,77
2019,F,6,BA,716
2019,F,6,CE,327
2019,F,6,DF,222
2019,F,6,ES,194
2019,F,6,GO,177
2019,F,6,MA,215
2019,F,6,MG,1025
2019,F,6,MS,100
2019,F,6,MT,141
2019,F,6,PA,452
2019,F,6,PB,208
2019,F,6,PE,394
2019,F,6,PI,165
2019,F,6,PR,187
2019,F,6,RJ,1278
2019,F,6,RN,186
2019,F,6,RO,68
2019,F,6,RR,13
