NU_ANO,TP_LOCALIZACAO_ESC,TP_SEXO,SG_UF_PROVA,QTD
2021,2.0,F,RN,258
2021,2.0,F,RO,231
2021,2.0,F,RR,76
2021,2.0,F,RS,654
2021,2.0,F,SC,363
2021,2.0,F,SE,220
2021,2.0,F,SP,842
2021,2.0,F,TO,215
2021,2.0,M,AC,62
2021,2.0,M,AL,118
2021,2.0,M,AM,1124
2021,2.0,M,AP,49
2021,2.0,M,BA,761
2021,2.0,M,CE,2739
2021,2.0,M,DF,124
2021,2.0,M,ES,299
2021,2.0,M,GO,442
2021,2.0,M,MA,635
2021,2.0,M,MG,856
2021,2.0,M,MS,227
2021,2.0,M,MT,371
2021,2.0,M,PA,381
2021,2.0,M,PB,238
2021,2.0,M,PE,769
2021,2.0,M,PI,172
2021,2.0,M,PR,440
2021,2.0,M,RJ,391
2021,2.0,M,RN,159
2021,2.0,M,RO,164
2021,2.0,M,RR,44
2021,2.0,M,RS,564
2021,2.0,M,SC,320
2021,2.0,M,SE,161
2021,2.0,M,SP,643
2021,2.0,M,TO,179
2022,1.0,F,AC,2125
2022,1.0,F,AL,8160
2022,1.0,F,AM,13917
2022,1.0,F,AP,1992
2022,1.0,F,BA,24036
2022,1.0,F,CE,49515
2022,1.0,F,DF,10606
2022,1.0,F,ES,10764
2022,1.0,F,GO,24053
2022,1.0,F,MA,14386
2022,1.0,F,MG,37938
2022,1.0,F,MS,7002
2022,1.0,F,MT,9091
2022,1.0,F,PA,18537
2022,1.0,F,PB,10885
2022,1.0,F,PE,23174
2022,1.0,F,PI,8648
2022,1.0,F,PR,27764
2022,1.0,F,RJ,39082
2022,1.0,F,RN,9144
2022,1.0,F,RO,5283
2022,1.0,F,RR,1183
2022,1.0,F,RS,23797
2022,1.0,F,SC,18082
2022,1.0,F,SE,5948
2022,1.0,F,SP,102694
2022,1.0,F,TO,4022
2022,1.0,M,AC,1923
2022,1.0,M,AL,6491
2022,1.0,M,AM,12039
2022,1.0,M,AP,1698
2022,1.0,M,BA,18172
2022,1.0,M,CE,47337
2022,1.0,M,DF,8336
2022,1.0,M,ES,8375
2022,1.0,M,GO,22604
2022,1.0,M,MA,10678
2022,1.0,M,MG,28725
2022,1.0,M,MS,5461
2022,1.0,M,MT,6744
2022,1.0,M,PA,14435
2022,1.0,M,PB,9561
2022,1.0,M,PE,19100
2022,1.0,M,PI,7044
2022,1.0,M,PR,20868
2022,1.0,M,RJ,27934
2022,1.0,M,RN,7456
2022,1.0,M,RO,3891
2022,1.0,M,RR,850
2022,1.0,M,RS,16704
2022,1.0,M,SC,12654
2022,1.0,M,SE,4734
2022,1.0,M,SP,79727
2022,1.0,M,TO,3040
2022,2.0,F,AC,193
2022,2.0,F,AL,400
2022,2.0,F,AM,927
2022,2.0,F,AP,140
2022,2.0,F,BA,1318
2022,2.0,F,CE,2673
2022,2.0,F,DF,274
2022,2.0,F,ES,416
2022,2.0,F,GO,428
2022,2.0,F,MA,1573
2022,2.0,F,MG,1125
2022,2.0,F,MS,399
2022,2.0,F,MT,581
2022,2.0,F,PA,998
2022,2.0,F,PB,377
2022,2.0,F,PE,1045
2022,2.0,F,PI,360
2022,2.0,F,PR,836
2022,2.0,F,RJ,902
2022,2.0,F,RN,301
2022,2.0,F,RO,281
2022,2.0,F,RR,117
2022,2.0,F,RS,761
2022,2.0,F,SC,451
2022,2.0,F,SE,254
2022,2.0,F,SP,1314
2022,2.0,F,TO,265
2022,2.0,M,AC,131
2022,2.0,M,AL,280
2022,2.0,M,AM,825
2022,2.0,M,AP,103
2022,2.0,M,BA,870
2022,2.0,M,CE,2848
2022,2.0,M,DF,136
2022,2.0,M,ES,319
2022,2.0,M,GO,430
2022,2.0,M,MA,1047
2022,2.0,M,MG,881
2022,2.0,M,MS,303
2022,2.0,M,MT,464
2022,2.0,M,PA,655
