NU_ANO,TP_LOCALIZACAO_ESC,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1.0,6,TO,37
2019,1.0,6,AC,12
2019,1.0,6,AL,83
2019,1.0,6,AM,120
2019,1.0,6,AP,28
2019,1.0,6,BA,188
2019,1.0,6,CE,839
2019,1.0,6,DF,70
2019,1.0,6,ES,116
2019,1.0,6,GO,131
2019,1.0,6,MA,118
2019,1.0,6,MG,379
2019,1.0,6,MS,55
2019,1.0,6,MT,56
2019,1.0,6,PA,277
2019,1.0,6,PB,140
2019,1.0,6,PE,262
2019,1.0,6,PI,149
2019,1.0,6,PR,99
2019,1.0,6,RJ,239
2019,1.0,6,RN,68
2019,1.0,6,RO,91
2019,1.0,6,RR,4
2019,1.0,6,RS,107
2019,1.0,6,SC,34
2019,1.0,6,SE,35
2019,1.0,6,SP,475
2019,1.0,6,TO,28
2019,1.0,6,AC,6
2019,1.0,6,AL,49
2019,1.0,6,AM,59
2019,1.0,6,AP,18
2019,1.0,6,BA,130
2019,1.0,6,CE,514
2019,1.0,6,DF,52
2019,1.0,6,ES,91
2019,1.0,6,GO,82
2019,1.0,6,MA,61
2019,1.0,6,MG,290
2019,1.0,6,MS,42
2019,1.0,6,MT,26
2019,1.0,6,PA,172
2019,1.0,6,PB,104
2019,1.0,6,PE,143
2019,1.0,6,PI,93
2019,1.0,6,PR,65
2019,1.0,6,RJ,175
2019,1.0,6,RN,53
2019,1.0,6,RO,38
2019,1.0,6,RR,2
2019,1.0,6,RS,94
2019,1.0,6,SC,19
2019,1.0,6,SE,13
2019,1.0,6,SP,375
2019,1.0,6,TO,14
2019,1.0,6,AC,3
2019,1.0,6,AL,19
2019,1.0,6,AM,35
2019,1.0,6,AP,4
2019,1.0,6,BA,62
2019,1.0,6,CE,302
2019,1.0,6,DF,42
2019,1.0,6,ES,62
2019,1.0,6,GO,44
2019,1.0,6,MA,24
2019,1.0,6,MG,203
2019,1.0,6,MS,19
2019,1.0,6,MT,25
2019,1.0,6,PA,91
2019,1.0,6,PB,57
2019,1.0,6,PE,110
2019,1.0,6,PI,50
2019,1.0,6,PR,34
2019,1.0,6,RJ,152
2019,1.0,6,RN,36
2019,1.0,6,RO,23
2019,1.0,6,RR,3
2019,1.0,6,RS,52
2019,1.0,6,SC,13
2019,1.0,6,SE,13
2019,1.0,6,SP,303
2019,1.0,6,TO,9
2019,1.0,6,AC,1
2019,1.0,6,AL,11
2019,1.0,6,AM,18
2019,1.0,6,AP,11
2019,1.0,6,BA,31
2019,1.0,6,CE,189
2019,1.0,6,DF,13
2019,1.0,6,ES,37
2019,1.0,6,GO,27
2019,1.0,6,MA,23
2019,1.0,6,MG,131
2019,1.0,6,MS,16
2019,1.0,6,MT,16
2019,1.0,6,PA,50
2019,1.0,6,PB,25
2019,1.0,6,PE,52
2019,1.0,6,PI,34
2019,1.0,6,PR,11
2019,1.0,6,RJ,96
2019,1.0,6,RN,25
2019,1.0,6,RO,10
2019,1.0,6,RS,36
2019,1.0,6,SC,8
2019,1.0,6,SE,1
2019,1.0,6,SP,173
2019,1.0,6,TO,1
2019,1.0,6,AL,3
2019,1.0,6,AM,9
2019,1.0,6,AP,4
2019,1.0,6,BA,15
2019,1.0,6,CE,78
2019,1.0,6,DF,12
2019,1.0,6,ES,14
2019,1.0,6,GO,18
2019,1.0,6,MA,3
2019,1.0,6,MG,59
2019,1.0,6,MS,4
2019,1.0,6,MT,5
2019,1.0,6,PA,28
2019,1.0,6,PB,11
2019,1.0,6,PE,31
2019,1.0,6,PI,15
2019,1.0,6,PR,11
2019,1.0,6,RJ,46
2019,1.0,6,RN,6
2019,1.0,6,RO,3
2019,1.0,6,RS,22
2019,1.0,6,SC,9
2019,1.0,6,SE,2
2019,1.0,6,SP,80
2019,1.0,6,AL,1
2019,1.0,6,AM,3
2019,1.0,6,BA,6
2019,1.0,6,CE,37
2019,1.0,6,DF,5
2019,1.0,6,ES,6
2019,1.0,6,GO,6
2019,1.0,6,MA,3
2019,1.0,6,MG,22
2019,1.0,6,MS,2
2019,1.0,6,MT,4
2019,1.0,6,PA,7
2019,1.0,6,PB,7
2019,1.0,6,PE,8
2019,1.0,6,PI,3
2019,1.0,6,PR,5
2019,1.0,6,RJ,24
2019,1.0,6,RN,1
2019,1.0,6,RS,8
2019,1.0,6,SC,1
2019,1.0,6,SP,36
2019,1.0,6,TO,1
2019,1.0,6,AC,1
2019,1.0,6,AL,1
2019,1.0,6,AP,1
2019,1.0,6,BA,2
2019,1.0,6,CE,9
2019,1.0,6,MG,3
2019,1.0,6,PA,5
2019,1.0,6,PB,7
2019,1.0,6,PE,2
2019,1.0,6,PR,1
2019,1.0,6,RJ,7
2019,1.0,6,RN,1
2019,1.0,6,RR,1
2019,1.0,6,RS,3
2019,1.0,6,SC,2
2019,1.0,6,SP,15
2019,1.0,6,CE,7
2019,1.0,6,DF,1
2019,1.0,6,MG,1
2019,1.0,6,MS,1
2019,1.0,6,MT,1
2019,1.0,6,PR,1
2019,1.0,6,RJ,1
2019,1.0,6,RS,1
2019,1.0,6,SP,5
2019,2.0,1,AC,11
2019,2.0,1,AL,29
2019,2.0,1,AM,35
2019,2.0,1,AP,20
2019,2.0,1,BA,165
2019,2.0,1,CE,24
2019,2.0,1,DF,11
2019,2.0,1,ES,22
2019,2.0,1,GO,5
2019,2.0,1,MA,181
2019,2.0,1,MG,6
2019,2.0,1,MS,4
2019,2.0,1,MT,12
2019,2.0,1,PA,77
2019,2.0,1,PB,35
2019,2.0,1,PE,151
2019,2.0,1,PI,39
2019,2.0,1,PR,35
2019,2.0,1,RJ,20
2019,2.0,1,RN,4
2019,2.0,1,RO,7
2019,2.0,1,RR,5
2019,2.0,1,RS,5
2019,2.0,1,SC,3
2019,2.0,1,SE,18
2019,2.0,1,SP,8
2019,2.0,1,TO,9
2019,2.0,2,AC,134
2019,2.0,2,AL,237
2019,2.0,2,AM,284
2019,2.0,2,AP,132
2019,2.0,2,BA,1276
2019,2.0,2,CE,1706
2019,2.0,2,DF,133
2019,2.0,2,ES,338
2019,2.0,2,GO,333
2019,2.0,2,MA,1166
2019,2.0,2,MG,1261
2019,2.0,2,MS,284
2019,2.0,2,MT,554
2019,2.0,2,PA,536
2019,2.0,2,PB,289
2019,2.0,2,PE,1036
2019,2.0,2,PI,267
2019,2.0,2,PR,1333
2019,2.0,2,RJ,605
2019,2.0,2,RN,123
2019,2.0,2,RO,128
2019,2.0,2,RR,47
2019,2.0,2,RS,491
2019,2.0,2,SC,257
2019,2.0,2,SE,177
2019,2.0,2,SP,2021
2019,2.0,2,TO,213
2019,2.0,3,AC,139
2019,2.0,3,AL,286
2019,2.0,3,AM,411
2019,2.0,3,AP,110
2019,2.0,3,BA,1375
2019,2.0,3,CE,2378
2019,2.0,3,DF,184
2019,2.0,3,ES,407
2019,2.0,3,GO,396
2019,2.0,3,MA,1119
2019,2.0,3,MG,1450
2019,2.0,3,MS,330
2019,2.0,3,MT,602
2019,2.0,3,PA,583
2019,2.0,3,PB,296
2019,2.0,3,PE,938
2019,2.0,3,PI,280
2019,2.0,3,PR,443
2019,2.0,3,RJ,888
2019,2.0,3,RN,310
2019,2.0,3,RO,251
2019,2.0,3,RR,49
2019,2.0,3,RS,1010
2019,2.0,3,SC,628
2019,2.0,3,SE,267
2019,2.0,3,SP,794
2019,2.0,3,TO,192
2019,2.0,4,AC,36
2019,2.0,4,AL,101
2019,2.0,4,AM,107
2019,2.0,4,AP,62
2019,2.0,4,BA,541
2019,2.0,4,CE,648
2019,2.0,4,DF,50
2019,2.0,4,ES,140
2019,2.0,4,GO,58
2019,2.0,4,MA,424
2019,2.0,4,MG,276
2019,2.0,4,MS,76
2019,2.0,4,MT,82
2019,2.0,4,PA,254
2019,2.0,4,PB,124
2019,2.0,4,PE,308
2019,2.0,4,PI,153
2019,2.0,4,PR,80
2019,2.0,4,RJ,252
2019,2.0,4,RN,178
2019,2.0,4,RO,63
2019,2.0,4,RR,11
2019,2.0,4,RS,143
2019,2.0,4,SC,61
2019,2.0,4,SE,145
2019,2.0,4,SP,89
2019,2.0,4,TO,71
2019,2.0,5,AC,20
2019,2.0,5,AL,34
2019,2.0,5,AM,45
