NU_ANO,Q024,TP_ESCOLA,SG_UF_PROVA,QTD
2019,D,3,SP,7075
2019,D,3,TO,63
2019,E,1,AC,63
2019,E,1,AL,305
2019,E,1,AM,345
2019,E,1,AP,116
2019,E,1,BA,1087
2019,E,1,CE,1054
2019,E,1,DF,1725
2019,E,1,ES,615
2019,E,1,GO,843
2019,E,1,MA,369
2019,E,1,MG,4136
2019,E,1,MS,334
2019,E,1,MT,420
2019,E,1,PA,568
2019,E,1,PB,688
2019,E,1,PE,1336
2019,E,1,PI,318
2019,E,1,PR,1981
2019,E,1,RJ,3482
2019,E,1,RN,633
2019,E,1,RO,140
2019,E,1,RR,97
2019,E,1,RS,1789
2019,E,1,SC,918
2019,E,1,SE,290
2019,E,1,SP,8582
2019,E,1,TO,148
2019,E,2,AC,7
2019,E,2,AL,5
2019,E,2,AM,67
2019,E,2,AP,5
2019,E,2,BA,85
2019,E,2,CE,105
2019,E,2,DF,217
2019,E,2,ES,117
2019,E,2,GO,105
2019,E,2,MA,38
2019,E,2,MG,471
2019,E,2,MS,71
2019,E,2,MT,62
2019,E,2,PA,41
2019,E,2,PB,31
2019,E,2,PE,83
2019,E,2,PI,22
2019,E,2,PR,360
2019,E,2,RJ,292
2019,E,2,RN,43
2019,E,2,RO,27
2019,E,2,RR,17
2019,E,2,RS,298
2019,E,2,SC,264
2019,E,2,SE,6
2019,E,2,SP,1229
2019,E,2,TO,18
2019,E,3,AC,11
2019,E,3,AL,80
2019,E,3,AM,70
2019,E,3,AP,20
2019,E,3,BA,339
2019,E,3,CE,268
2019,E,3,DF,550
2019,E,3,ES,144
2019,E,3,GO,235
2019,E,3,MA,75
2019,E,3,MG,970
2019,E,3,MS,82
2019,E,3,MT,82
2019,E,3,PA,170
2019,E,3,PB,163
2019,E,3,PE,402
2019,E,3,PI,91
2019,E,3,PR,708
2019,E,3,RJ,1281
2019,E,3,RN,130
2019,E,3,RO,17
2019,E,3,RR,17
2019,E,3,RS,597
2019,E,3,SC,406
2019,E,3,SE,78
2019,E,3,SP,4063
2019,E,3,TO,40
2020,A,1,AC,23391
2020,A,1,AL,49420
2020,A,1,AM,76885
2020,A,1,AP,27753
2020,A,1,BA,205028
2020,A,1,CE,120035
2020,A,1,DF,32407
2020,A,1,ES,31590
2020,A,1,GO,66612
2020,A,1,MA,136410
2020,A,1,MG,166513
2020,A,1,MS,31944
2020,A,1,MT,36954
2020,A,1,PA,194537
2020,A,1,PB,72224
2020,A,1,PE,133953
2020,A,1,PI,69386
2020,A,1,PR,56195
2020,A,1,RJ,115098
2020,A,1,RN,55352
2020,A,1,RO,29102
2020,A,1,RR,7533
2020,A,1,RS,71282
2020,A,1,SC,26788
2020,A,1,SE,42006
2020,A,1,SP,228052
2020,A,1,TO,25961
2020,A,2,AC,4504
2020,A,2,AL,12843
2020,A,2,AM,31428
2020,A,2,AP,4759
2020,A,2,BA,56277
2020,A,2,CE,94085
2020,A,2,DF,8394
2020,A,2,ES,11100
2020,A,2,GO,36703
2020,A,2,MA,34418
2020,A,2,MG,48544
2020,A,2,MS,8827
2020,A,2,MT,10847
2020,A,2,PA,40168
2020,A,2,PB,19920
2020,A,2,PE,48316
2020,A,2,PI,17829
2020,A,2,PR,23104
2020,A,2,RJ,33964
2020,A,2,RN,12559
2020,A,2,RO,9014
2020,A,2,RR,2049
2020,A,2,RS,18340
2020,A,2,SC,10662
2020,A,2,SE,12287
2020,A,2,SP,68753
2020,A,2,TO,10068
2020,A,3,AC,45
2020,A,3,AL,1027
2020,A,3,AM,217
2020,A,3,AP,84
2020,A,3,BA,2193
2020,A,3,CE,1521
2020,A,3,DF,395
2020,A,3,ES,212
2020,A,3,GO,841
2020,A,3,MA,679
2020,A,3,MG,1029
2020,A,3,MS,172
2020,A,3,MT,238
2020,A,3,PA,1871
2020,A,3,PB,1069
2020,A,3,PE,1509
2020,A,3,PI,765
2020,A,3,PR,605
2020,A,3,RJ,2603
2020,A,3,RN,707
2020,A,3,RO,53
2020,A,3,RR,35
2020,A,3,RS,441
2020,A,3,SC,291
2020,A,3,SE,760
2020,A,3,SP,3351
2020,A,3,TO,96
2020,B,1,AC,9496
2020,B,1,AL,26627
2020,B,1,AM,35159
2020,B,1,AP,10084
2020,B,1,BA,130543
2020,B,1,CE,71023
2020,B,1,DF,39548
2020,B,1,ES,38508
2020,B,1,GO,63070
2020,B,1,MA,48690
2020,B,1,MG,225842
2020,B,1,MS,26006
2020,B,1,MT,32896
2020,B,1,PA,68860
2020,B,1,PB,48806
2020,B,1,PE,88182
2020,B,1,PI,32744
2020,B,1,PR,82200
2020,B,1,RJ,135617
2020,B,1,RN,42190
2020,B,1,RO,21232
2020,B,1,RR,4546
2020,B,1,RS,93461
2020,B,1,SC,39357
2020,B,1,SE,22609
2020,B,1,SP,322489
2020,B,1,TO,14727
2020,B,2,AC,1453
2020,B,2,AL,3622
2020,B,2,AM,8488
2020,B,2,AP,1305
2020,B,2,BA,21187
2020,B,2,CE,14403
2020,B,2,DF,9347
2020,B,2,ES,9848
2020,B,2,GO,21624
2020,B,2,MA,6683
2020,B,2,MG,50532
2020,B,2,MS,7203
2020,B,2,MT,8172
2020,B,2,PA,9140
2020,B,2,PB,6043
2020,B,2,PE,15271
2020,B,2,PI,4121
2020,B,2,PR,29335
2020,B,2,RJ,30011
2020,B,2,RN,5986
2020,B,2,RO,5106
2020,B,2,RR,1131
2020,B,2,RS,24823
2020,B,2,SC,18140
2020,B,2,SE,2571
2020,B,2,SP,89048
2020,B,2,TO,3606
2020,B,3,AC,153
2020,B,3,AL,1659
2020,B,3,AM,668
2020,B,3,AP,251
2020,B,3,BA,6145
2020,B,3,CE,3682
2020,B,3,DF,2204
2020,B,3,ES,1289
2020,B,3,GO,3189
2020,B,3,MA,1430
2020,B,3,MG,6854
2020,B,3,MS,851
2020,B,3,MT,1021
2020,B,3,PA,2950
2020,B,3,PB,2503
2020,B,3,PE,4230
2020,B,3,PI,1850
2020,B,3,PR,4364
2020,B,3,RJ,11260
2020,B,3,RN,1823
2020,B,3,RO,233
2020,B,3,RR,96
2020,B,3,RS,3135
2020,B,3,SC,2172
2020,B,3,SE,1649
2020,B,3,SP,23280
2020,B,3,TO,337
2020,C,1,AC,1015
2020,C,1,AL,3146
2020,C,1,AM,4175
2020,C,1,AP,1358
2020,C,1,BA,13274
2020,C,1,CE,9915
2020,C,1,DF,8984
2020,C,1,ES,6284
2020,C,1,GO,8941
2020,C,1,MA,5341
2020,C,1,MG,37378
2020,C,1,MS,3769
2020,C,1,MT,4695
2020,C,1,PA,7650
2020,C,1,PB,6219
2020,C,1,PE,11415
2020,C,1,PI,3880
2020,C,1,PR,16789
2020,C,1,RJ,24657
2020,C,1,RN,6015
2020,C,1,RO,2314
2020,C,1,RR,727
2020,C,1,RS,16864
2020,C,1,SC,8732
2020,C,1,SE,2836
2020,C,1,SP,64716
2020,C,1,TO,1960
2020,C,2,AC,149
2020,C,2,AL,247
2020,C,2,AM,1054
2020,C,2,AP,148
2020,C,2,BA,1450
2020,C,2,CE,940
2020,C,2,DF,1888
2020,C,2,ES,1377
2020,C,2,GO,2071
2020,C,2,MA,551
2020,C,2,MG,7281
2020,C,2,MS,1065
2020,C,2,MT,1123
2020,C,2,PA,795
2020,C,2,PB,501
2020,C,2,PE,1246
2020,C,2,PI,332
2020,C,2,PR,5659
2020,C,2,RJ,4076
2020,C,2,RN,660
2020,C,2,RO,580
2020,C,2,RR,227
2020,C,2,RS,4902
2020,C,2,SC,4029
2020,C,2,SE,156
2020,C,2,SP,15502
2020,C,2,TO,393
2020,C,3,AC,63
2020,C,3,AL,552
2020,C,3,AM,360
2020,C,3,AP,117
2020,C,3,BA,2196
2020,C,3,CE,1618
2020,C,3,DF,1665
2020,C,3,ES,851
2020,C,3,GO,1409
2020,C,3,MA,514
2020,C,3,MG,4222
2020,C,3,MS,546
2020,C,3,MT,535
2020,C,3,PA,1047
2020,C,3,PB,942
2020,C,3,PE,1841
2020,C,3,PI,561
2020,C,3,PR,3090
2020,C,3,RJ,5606
2020,C,3,RN,747
2020,C,3,RO,117
2020,C,3,RR,60
2020,C,3,RS,2256
2020,C,3,SC,1666
2020,C,3,SE,567
2020,C,3,SP,14946
2020,C,3,TO,191
2020,D,1,AC,249
2020,D,1,AL,857
2020,D,1,AM,1102
2020,D,1,AP,339
2020,D,1,BA,3511
2020,D,1,CE,2919
2020,D,1,DF,3642
2020,D,1,ES,1756
2020,D,1,GO,2428
2020,D,1,MA,1232
2020,D,1,MG,10753
2020,D,1,MS,1092
2020,D,1,MT,1268
2020,D,1,PA,1836
2020,D,1,PB,1820
2020,D,1,PE,3538
2020,D,1,PI,1083
2020,D,1,PR,5030
2020,D,1,RJ,8138
2020,D,1,RN,1685
2020,D,1,RO,509
2020,D,1,RR,215
2020,D,1,RS,4880
2020,D,1,SC,2640
2020,D,1,SE,819
2020,D,1,SP,21784
2020,D,1,TO,493
2020,D,2,AC,33
2020,D,2,AL,50
2020,D,2,AM,220
2020,D,2,AP,37
2020,D,2,BA,295
2020,D,2,CE,168
2020,D,2,DF,589
2020,D,2,ES,318
2020,D,2,GO,418
2020,D,2,MA,102
2020,D,2,MG,1491
2020,D,2,MS,264
2020,D,2,MT,241
2020,D,2,PA,165
2020,D,2,PB,82
2020,D,2,PE,287
2020,D,2,PI,38
2020,D,2,PR,1432
2020,D,2,RJ,972
2020,D,2,RN,164
2020,D,2,RO,124
2020,D,2,RR,65
2020,D,2,RS,1259
2020,D,2,SC,974
2020,D,2,SE,25
2020,D,2,SP,3829
2020,D,2,TO,114
2020,D,3,AC,32
2020,D,3,AL,242
2020,D,3,AM,166
2020,D,3,AP,61
2020,D,3,BA,879
2020,D,3,CE,729
2020,D,3,DF,1049
