NU_ANO,TP_LOCALIZACAO_ESC,Q024,SG_UF_PROVA,QTD
2021,1.0,A,GO,22121
2021,1.0,A,MA,12671
2021,1.0,A,MG,15860
2021,1.0,A,MS,3533
2021,1.0,A,MT,4262
2021,1.0,A,PA,15375
2021,1.0,A,PB,8914
2021,1.0,A,PE,22389
2021,1.0,A,PI,7436
2021,1.0,A,PR,8912
2021,1.0,A,RJ,14321
2021,1.0,A,RN,5166
2021,1.0,A,RO,3448
2021,1.0,A,RR,753
2021,1.0,A,RS,7726
2021,1.0,A,SC,5410
2021,1.0,A,SE,4697
2021,1.0,A,SP,26830
2021,1.0,A,TO,3163
2021,1.0,B,AC,955
2021,1.0,B,AL,3496
2021,1.0,B,AM,7012
2021,1.0,B,AP,876
2021,1.0,B,BA,17167
2021,1.0,B,CE,14418
2021,1.0,B,DF,7099
2021,1.0,B,ES,7777
2021,1.0,B,GO,16265
2021,1.0,B,MA,5236
2021,1.0,B,MG,29413
2021,1.0,B,MS,4652
2021,1.0,B,MT,5427
2021,1.0,B,PA,7604
2021,1.0,B,PB,5491
2021,1.0,B,PE,11661
2021,1.0,B,PI,3920
2021,1.0,B,PR,19517
2021,1.0,B,RJ,24189
2021,1.0,B,RN,5365
2021,1.0,B,RO,2961
2021,1.0,B,RR,637
2021,1.0,B,RS,17021
2021,1.0,B,SC,13133
2021,1.0,B,SE,2562
2021,1.0,B,SP,65273
2021,1.0,B,TO,2058
2021,1.0,C,AC,240
2021,1.0,C,AL,784
2021,1.0,C,AM,1422
2021,1.0,C,AP,255
2021,1.0,C,BA,3876
2021,1.0,C,CE,2683
2021,1.0,C,DF,3071
2021,1.0,C,ES,2210
2021,1.0,C,GO,3533
2021,1.0,C,MA,1084
2021,1.0,C,MG,10251
2021,1.0,C,MS,1338
2021,1.0,C,MT,1435
2021,1.0,C,PA,1731
2021,1.0,C,PB,1357
2021,1.0,C,PE,2824
2021,1.0,C,PI,1079
2021,1.0,C,PR,7701
2021,1.0,C,RJ,8564
2021,1.0,C,RN,1422
2021,1.0,C,RO,595
2021,1.0,C,RR,183
2021,1.0,C,RS,6045
2021,1.0,C,SC,4819
2021,1.0,C,SE,707
2021,1.0,C,SP,26387
2021,1.0,C,TO,558
2021,1.0,D,AC,65
2021,1.0,D,AL,338
2021,1.0,D,AM,459
2021,1.0,D,AP,89
2021,1.0,D,BA,1503
2021,1.0,D,CE,1115
2021,1.0,D,DF,1734
2021,1.0,D,ES,826
2021,1.0,D,GO,1176
2021,1.0,D,MA,417
2021,1.0,D,MG,4395
2021,1.0,D,MS,526
2021,1.0,D,MT,531
2021,1.0,D,PA,688
2021,1.0,D,PB,567
2021,1.0,D,PE,1381
2021,1.0,D,PI,419
2021,1.0,D,PR,3269
2021,1.0,D,RJ,4017
2021,1.0,D,RN,568
2021,1.0,D,RO,195
2021,1.0,D,RR,66
2021,1.0,D,RS,2535
2021,1.0,D,SC,1825
2021,1.0,D,SE,281
2021,1.0,D,SP,12284
2021,1.0,D,TO,178
2021,1.0,E,AC,29
2021,1.0,E,AL,148
2021,1.0,E,AM,205
2021,1.0,E,AP,49
2021,1.0,E,BA,724
2021,1.0,E,CE,609
2021,1.0,E,DF,1249
2021,1.0,E,ES,414
2021,1.0,E,GO,552
2021,1.0,E,MA,160
2021,1.0,E,MG,2373
2021,1.0,E,MS,206
2021,1.0,E,MT,220
2021,1.0,E,PA,277
2021,1.0,E,PB,291
2021,1.0,E,PE,784
2021,1.0,E,PI,162
2021,1.0,E,PR,1805
2021,1.0,E,RJ,2406
2021,1.0,E,RN,260
2021,1.0,E,RO,61
2021,1.0,E,RR,27
2021,1.0,E,RS,1250
2021,1.0,E,SC,871
2021,1.0,E,SE,126
2021,1.0,E,SP,7743
2021,1.0,E,TO,81
2021,2.0,A,AC,154
2021,2.0,A,AL,277
2021,2.0,A,AM,2091
2021,2.0,A,AP,100
2021,2.0,A,BA,1437
2021,2.0,A,CE,4914
2021,2.0,A,DF,197
2021,2.0,A,ES,220
2021,2.0,A,GO,531
2021,2.0,A,MA,1213
2021,2.0,A,MG,608
2021,2.0,A,MS,258
2021,2.0,A,MT,334
2021,2.0,A,PA,891
2021,2.0,A,PB,392
2021,2.0,A,PE,1324
2021,2.0,A,PI,343
2021,2.0,A,PR,427
2021,2.0,A,RJ,442
2021,2.0,A,RN,182
2021,2.0,A,RO,165
2021,2.0,A,RR,61
2021,2.0,A,RS,313
2021,2.0,A,SC,195
2021,2.0,A,SE,281
2021,2.0,A,SP,514
2021,2.0,A,TO,262
2021,2.0,B,AC,21
