NU_ANO,TP_COR_RACA,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,1,4,PI,2490
2019,1,4,PR,13376
2019,1,4,RJ,18393
2019,1,4,RN,4603
2019,1,4,RO,1416
2019,1,4,RR,251
2019,1,4,RS,19957
2019,1,4,SC,8594
2019,1,4,SE,1313
2019,1,4,SP,43881
2019,1,4,TO,961
2019,1,5,AC,424
2019,1,5,AL,1517
2019,1,5,AM,1156
2019,1,5,AP,502
2019,1,5,BA,4960
2019,1,5,CE,4183
2019,1,5,DF,2246
2019,1,5,ES,2682
2019,1,5,GO,3511
2019,1,5,MA,3357
2019,1,5,MG,15579
2019,1,5,MS,1789
2019,1,5,MT,1598
2019,1,5,PA,3397
2019,1,5,PB,3066
2019,1,5,PE,5672
2019,1,5,PI,1637
2019,1,5,PR,8745
2019,1,5,RJ,11480
2019,1,5,RN,3620
2019,1,5,RO,945
2019,1,5,RR,155
2019,1,5,RS,14326
2019,1,5,SC,4664
2019,1,5,SE,964
2019,1,5,SP,27131
2019,1,5,TO,634
2019,1,6,AC,360
2019,1,6,AL,1194
2019,1,6,AM,955
2019,1,6,AP,386
2019,1,6,BA,3303
2019,1,6,CE,2813
2019,1,6,DF,1562
2019,1,6,ES,1788
2019,1,6,GO,2340
2019,1,6,MA,2286
2019,1,6,MG,10483
2019,1,6,MS,1341
2019,1,6,MT,1086
2019,1,6,PA,2370
2019,1,6,PB,2377
2019,1,6,PE,3929
2019,1,6,PI,1154
2019,1,6,PR,6303
2019,1,6,RJ,7305
2019,1,6,RN,2737
2019,1,6,RO,718
2019,1,6,RR,103
2019,1,6,RS,10017
2019,1,6,SC,3189
2019,1,6,SE,683
2019,1,6,SP,18539
2019,1,6,TO,419
2019,1,6,AC,294
2019,1,6,AL,908
2019,1,6,AM,782
2019,1,6,AP,312
2019,1,6,BA,2676
2019,1,6,CE,2173
2019,1,6,DF,1204
2019,1,6,ES,1388
2019,1,6,GO,1795
2019,1,6,MA,1948
2019,1,6,MG,8359
2019,1,6,MS,1095
2019,1,6,MT,929
2019,1,6,PA,1900
2019,1,6,PB,1909
2019,1,6,PE,3183
2019,1,6,PI,870
2019,1,6,PR,5110
2019,1,6,RJ,5790
2019,1,6,RN,2195
2019,1,6,RO,602
2019,1,6,RR,91
2019,1,6,RS,7917
2019,1,6,SC,2477
2019,1,6,SE,487
2019,1,6,SP,14188
2019,1,6,TO,316
2019,1,6,AC,242
2019,1,6,AL,752
2019,1,6,AM,697
2019,1,6,AP,302
2019,1,6,BA,1934
2019,1,6,CE,1785
2019,1,6,DF,868
2019,1,6,ES,1055
2019,1,6,GO,1399
2019,1,6,MA,1492
2019,1,6,MG,6456
2019,1,6,MS,915
2019,1,6,MT,758
2019,1,6,PA,1626
2019,1,6,PB,1594
2019,1,6,PE,2507
2019,1,6,PI,715
2019,1,6,PR,4025
2019,1,6,RJ,4404
2019,1,6,RN,1811
2019,1,6,RO,509
2019,1,6,RR,94
2019,1,6,RS,6301
2019,1,6,SC,1912
2019,1,6,SE,415
2019,1,6,SP,11264
2019,1,6,TO,275
2019,1,6,AC,213
2019,1,6,AL,622
2019,1,6,AM,560
2019,1,6,AP,218
2019,1,6,BA,1578
2019,1,6,CE,1402
2019,1,6,DF,767
2019,1,6,ES,862
2019,1,6,GO,1191
2019,1,6,MA,1208
2019,1,6,MG,5100
2019,1,6,MS,773
2019,1,6,MT,658
2019,1,6,PA,1318
2019,1,6,PB,1386
2019,1,6,PE,2128
2019,1,6,PI,594
2019,1,6,PR,3357
2019,1,6,RJ,3509
2019,1,6,RN,1651
2019,1,6,RO,428
2019,1,6,RR,70
2019,1,6,RS,5178
2019,1,6,SC,1691
2019,1,6,SE,349
2019,1,6,SP,8861
2019,1,6,TO,212
2019,1,6,AC,199
2019,1,6,AL,544
2019,1,6,AM,485
2019,1,6,AP,226
2019,1,6,BA,1253
2019,1,6,CE,1128
2019,1,6,DF,657
2019,1,6,ES,678
2019,1,6,GO,968
2019,1,6,MA,967
2019,1,6,MG,4112
2019,1,6,MS,683
2019,1,6,MT,544
2019,1,6,PA,1133
