NU_ANO,TP_SEXO,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2021,M,2.0,RO,164
2021,M,2.0,RR,44
2021,M,2.0,RS,564
2021,M,2.0,SC,320
2021,M,2.0,SE,161
2021,M,2.0,SP,643
2021,M,2.0,TO,179
2022,F,1.0,AC,2125
2022,F,1.0,AL,8160
2022,F,1.0,AM,13917
2022,F,1.0,AP,1992
2022,F,1.0,BA,24036
2022,F,1.0,CE,49515
2022,F,1.0,DF,10606
2022,F,1.0,ES,10764
2022,F,1.0,GO,24053
2022,F,1.0,MA,14386
2022,F,1.0,MG,37938
2022,F,1.0,MS,7002
2022,F,1.0,MT,9091
2022,F,1.0,PA,18537
2022,F,1.0,PB,10885
2022,F,1.0,PE,23174
2022,F,1.0,PI,8648
2022,F,1.0,PR,27764
2022,F,1.0,RJ,39082
2022,F,1.0,RN,9144
2022,F,1.0,RO,5283
2022,F,1.0,RR,1183
2022,F,1.0,RS,23797
2022,F,1.0,SC,18082
2022,F,1.0,SE,5948
2022,F,1.0,SP,102694
2022,F,1.0,TO,4022
2022,F,2.0,AC,193
2022,F,2.0,AL,400
2022,F,2.0,AM,927
2022,F,2.0,AP,140
2022,F,2.0,BA,1318
2022,F,2.0,CE,2673
2022,F,2.0,DF,274
2022,F,2.0,ES,416
2022,F,2.0,GO,428
2022,F,2.0,MA,1573
2022,F,2.0,MG,1125
2022,F,2.0,MS,399
2022,F,2.0,MT,581
2022,F,2.0,PA,998
2022,F,2.0,PB,377
2022,F,2.0,PE,1045
2022,F,2.0,PI,360
2022,F,2.0,PR,836
2022,F,2.0,RJ,902
2022,F,2.0,RN,301
2022,F,2.0,RO,281
2022,F,2.0,RR,117
2022,F,2.0,RS,761
2022,F,2.0,SC,451
2022,F,2.0,SE,254
2022,F,2.0,SP,1314
2022,F,2.0,TO,265
2022,M,1.0,AC,1923
2022,M,1.0,AL,6491
2022,M,1.0,AM,12039
2022,M,1.0,AP,1698
2022,M,1.0,BA,18172
2022,M,1.0,CE,47337
2022,M,1.0,DF,8336
2022,M,1.0,ES,8375
2022,M,1.0,GO,22604
2022,M,1.0,MA,10678
2022,M,1.0,MG,28725
2022,M,1.0,MS,5461
2022,M,1.0,MT,6744
2022,M,1.0,PA,14435
2022,M,1.0,PB,9561
2022,M,1.0,PE,19100
2022,M,1.0,PI,7044
2022,M,1.0,PR,20868
2022,M,1.0,RJ,27934
2022,M,1.0,RN,7456
2022,M,1.0,RO,3891
2022,M,1.0,RR,850
2022,M,1.0,RS,16704
2022,M,1.0,SC,12654
2022,M,1.0,SE,4734
2022,M,1.0,SP,79727
2022,M,1.0,TO,3040
2022,M,2.0,AC,131
2022,M,2.0,AL,280
2022,M,2.0,AM,825
2022,M,2.0,AP,103
2022,M,2.0,BA,870
2022,M,2.0,CE,2848
2022,M,2.0,DF,136
2022,M,2.0,ES,319
2022,M,2.0,GO,430
2022,M,2.0,MA,1047
2022,M,2.0,MG,881
2022,M,2.0,MS,303
2022,M,2.0,MT,464
2022,M,2.0,PA,655
2022,M,2.0,PB,254
2022,M,2.0,PE,852
2022,M,2.0,PI,254
2022,M,2.0,PR,660
2022,M,2.0,RJ,559
2022,M,2.0,RN,203
2022,M,2.0,RO,223
2022,M,2.0,RR,71
2022,M,2.0,RS,629
2022,M,2.0,SC,375
