NU_ANO,TP_ESCOLA,TP_LOCALIZACAO_ESC,SG_UF_PROVA,QTD
2020,3,2.0,PI,3
2020,3,2.0,PR,41
2020,3,2.0,RJ,111
2020,3,2.0,RN,3
2020,3,2.0,RO,7
2020,3,2.0,RS,2
2020,3,2.0,SC,34
2020,3,2.0,SE,1
2020,3,2.0,SP,247
2020,3,2.0,TO,19
2021,2,1.0,AC,2668
2021,2,1.0,AL,7172
2021,2,1.0,AM,29700
2021,2,1.0,AP,2353
2021,2,1.0,BA,35720
2021,2,1.0,CE,80596
2021,2,1.0,DF,11565
2021,2,1.0,ES,14408
2021,2,1.0,GO,38371
2021,2,1.0,MA,17113
2021,2,1.0,MG,48357
2021,2,1.0,MS,8592
2021,2,1.0,MT,9910
2021,2,1.0,PA,20638
2021,2,1.0,PB,12752
2021,2,1.0,PE,31426
2021,2,1.0,PI,10057
2021,2,1.0,PR,31608
2021,2,1.0,RJ,33495
2021,2,1.0,RN,9590
2021,2,1.0,RO,6826
2021,2,1.0,RR,1519
2021,2,1.0,RS,27877
2021,2,1.0,SC,20777
2021,2,1.0,SE,5862
2021,2,1.0,SP,92705
2021,2,1.0,TO,5451
2021,2,2.0,AC,179
2021,2,2.0,AL,341
2021,2,2.0,AM,2297
2021,2,2.0,AP,119
2021,2,2.0,BA,2053
2021,2,2.0,CE,5358
2021,2,2.0,DF,305
2021,2,2.0,ES,660
2021,2,2.0,GO,912
2021,2,2.0,MA,1531
2021,2,2.0,MG,1917
2021,2,2.0,MS,512
2021,2,2.0,MT,878
2021,2,2.0,PA,1084
2021,2,2.0,PB,576
2021,2,2.0,PE,1746
2021,2,2.0,PI,411
2021,2,2.0,PR,1026
2021,2,2.0,RJ,938
2021,2,2.0,RN,412
2021,2,2.0,RO,393
2021,2,2.0,RR,120
2021,2,2.0,RS,1217
2021,2,2.0,SC,635
2021,2,2.0,SE,380
2021,2,2.0,SP,1285
2021,2,2.0,TO,383
2021,3,1.0,AC,250
2021,3,1.0,AL,2955
2021,3,1.0,AM,1335
2021,3,1.0,AP,445
2021,3,1.0,BA,10016
2021,3,1.0,CE,6644
2021,3,1.0,DF,5152
2021,3,1.0,ES,2494
2021,3,1.0,GO,5276
2021,3,1.0,MA,2455
2021,3,1.0,MG,13935
2021,3,1.0,MS,1663
2021,3,1.0,MT,1965
2021,3,1.0,PA,5037
2021,3,1.0,PB,3868
2021,3,1.0,PE,7613
2021,3,1.0,PI,2959
2021,3,1.0,PR,9596
2021,3,1.0,RJ,20002
2021,3,1.0,RN,3191
2021,3,1.0,RO,434
2021,3,1.0,RR,147
2021,3,1.0,RS,6700
2021,3,1.0,SC,5281
2021,3,1.0,SE,2511
2021,3,1.0,SP,45812
2021,3,1.0,TO,587
2021,3,2.0,AL,5
2021,3,2.0,AM,10
2021,3,2.0,BA,31
2021,3,2.0,CE,1
2021,3,2.0,DF,71
2021,3,2.0,ES,2
2021,3,2.0,GO,49
