NU_ANO,Q025,TP_COR_RACA,SG_UF_PROVA,QTD
2020,B,3,RO,32593
2020,B,3,RR,7998
2020,B,3,RS,29698
2020,B,3,SC,21847
2020,B,3,SE,38572
2020,B,3,SP,243317
2020,B,3,TO,24429
2020,B,4,AC,746
2020,B,4,AL,3174
2020,B,4,AM,1924
2020,B,4,AP,443
2020,B,4,BA,8757
2020,B,4,CE,5363
2020,B,4,DF,2667
2020,B,4,ES,1446
2020,B,4,GO,7108
2020,B,4,MA,2593
2020,B,4,MG,10478
2020,B,4,MS,1506
2020,B,4,MT,1890
2020,B,4,PA,4050
2020,B,4,PB,4012
2020,B,4,PE,7388
2020,B,4,PI,2525
2020,B,4,PR,4350
2020,B,4,RJ,5139
2020,B,4,RN,2267
2020,B,4,RO,1514
2020,B,4,RR,136
2020,B,4,RS,967
2020,B,4,SC,1136
2020,B,4,SE,1883
2020,B,4,SP,17820
2020,B,4,TO,1458
2020,B,5,AC,141
2020,B,5,AL,540
2020,B,5,AM,1683
2020,B,5,AP,120
2020,B,5,BA,2197
2020,B,5,CE,1382
2020,B,5,DF,384
2020,B,5,ES,453
2020,B,5,GO,700
2020,B,5,MA,467
2020,B,5,MG,1701
2020,B,5,MS,1084
2020,B,5,MT,439
2020,B,5,PA,1145
2020,B,5,PB,1082
2020,B,5,PE,3120
2020,B,5,PI,392
2020,B,5,PR,434
2020,B,5,RJ,1045
2020,B,5,RN,338
2020,B,5,RO,382
2020,B,5,RR,523
2020,B,5,RS,376
2020,B,5,SC,322
2020,B,5,SE,398
2020,B,5,SP,2841
2020,B,5,TO,228
2021,A,0,AC,100
2021,A,0,AL,135
2021,A,0,AM,903
2021,A,0,AP,68
2021,A,0,BA,738
2021,A,0,CE,1755
2021,A,0,DF,80
2021,A,0,ES,50
2021,A,0,GO,740
2021,A,0,MA,606
2021,A,0,MG,378
2021,A,0,MS,65
2021,A,0,MT,123
2021,A,0,PA,860
2021,A,0,PB,207
2021,A,0,PE,947
2021,A,0,PI,322
2021,A,0,PR,127
2021,A,0,RJ,360
2021,A,0,RN,116
2021,A,0,RO,71
2021,A,0,RR,13
2021,A,0,RS,144
2021,A,0,SC,58
2021,A,0,SE,220
