NU_ANO,TP_ESCOLA,TP_COR_RACA,SG_UF_PROVA,QTD
2019,2,5,MS,473
2019,2,5,MT,138
2019,2,5,PA,471
2019,2,5,PB,334
2019,2,5,PE,877
2019,2,5,PI,193
2019,2,5,PR,181
2019,2,5,RJ,321
2019,2,5,RN,121
2019,2,5,RO,155
2019,2,5,RR,113
2019,2,5,RS,126
2019,2,5,SC,120
2019,2,5,SE,124
2019,2,5,SP,1271
2019,2,5,TO,91
2019,3,0,AC,6
2019,3,0,AL,126
2019,3,0,AM,31
2019,3,0,AP,22
2019,3,0,BA,422
2019,3,0,CE,190
2019,3,0,DF,199
2019,3,0,ES,52
2019,3,0,GO,476
2019,3,0,MA,64
2019,3,0,MG,428
2019,3,0,MS,39
2019,3,0,MT,36
2019,3,0,PA,147
2019,3,0,PB,124
2019,3,0,PE,286
2019,3,0,PI,97
2019,3,0,PR,185
2019,3,0,RJ,518
2019,3,0,RN,72
2019,3,0,RO,18
2019,3,0,RR,2
2019,3,0,RS,149
2019,3,0,SC,114
2019,3,0,SE,99
2019,3,0,SP,937
2019,3,0,TO,27
2019,3,1,AC,156
2019,3,1,AL,1663
2019,3,1,AM,681
2019,3,1,AP,235
2019,3,1,BA,4311
2019,3,1,CE,4436
2019,3,1,DF,3775
2019,3,1,ES,2000
2019,3,1,GO,3948
2019,3,1,MA,1485
2019,3,1,MG,11413
2019,3,1,MS,1463
2019,3,1,MT,1291
2019,3,1,PA,2615
2019,3,1,PB,2541
2019,3,1,PE,5200
2019,3,1,PI,1377
2019,3,1,PR,9172
2019,3,1,RJ,17571
2019,3,1,RN,2159
2019,3,1,RO,285
2019,3,1,RR,105
2019,3,1,RS,7420
2019,3,1,SC,5267
2019,3,1,SE,1175
2019,3,1,SP,47285
2019,3,1,TO,347
2019,3,2,AC,28
2019,3,2,AL,295
2019,3,2,AM,52
2019,3,2,AP,45
2019,3,2,BA,2152
2019,3,2,CE,409
2019,3,2,DF,385
2019,3,2,ES,160
2019,3,2,GO,347
2019,3,2,MA,277
2019,3,2,MG,733
2019,3,2,MS,36
2019,3,2,MT,143
2019,3,2,PA,557
2019,3,2,PB,317
2019,3,2,PE,569
2019,3,2,PI,326
2019,3,2,PR,125
2019,3,2,RJ,2075
2019,3,2,RN,219
2019,3,2,RO,30
2019,3,2,RR,10
2019,3,2,RS,183
2019,3,2,SC,98
2019,3,2,SE,362
2019,3,2,SP,1830
2019,3,2,TO,50
2019,3,3,AC,182
2019,3,3,AL,1895
2019,3,3,AM,852
2019,3,3,AP,334
2019,3,3,BA,6033
2019,3,3,CE,3995
2019,3,3,DF,2036
2019,3,3,ES,1030
2019,3,3,GO,2212
2019,3,3,MA,1721
2019,3,3,MG,4032
2019,3,3,MS,422
2019,3,3,MT,728
2019,3,3,PA,3900
2019,3,3,PB,2350
2019,3,3,PE,3601
2019,3,3,PI,2061
2019,3,3,PR,974
2019,3,3,RJ,6067
2019,3,3,RN,1557
2019,3,3,RO,238
2019,3,3,RR,113
2019,3,3,RS,466
2019,3,3,SC,394
2019,3,3,SE,1789
2019,3,3,SP,7577
2019,3,3,TO,371
2019,3,4,AC,9
2019,3,4,AL,107
2019,3,4,AM,33
2019,3,4,AP,8
2019,3,4,BA,324
2019,3,4,CE,183
2019,3,4,DF,142
2019,3,4,ES,39
2019,3,4,GO,211
2019,3,4,MA,81
2019,3,4,MG,223
2019,3,4,MS,56
2019,3,4,MT,52
2019,3,4,PA,146
2019,3,4,PB,150
2019,3,4,PE,229
2019,3,4,PI,106
2019,3,4,PR,371
2019,3,4,RJ,260
2019,3,4,RN,85
2019,3,4,RO,8
2019,3,4,RR,4
2019,3,4,RS,27
2019,3,4,SC,40
2019,3,4,SE,136
2019,3,4,SP,2139
2019,3,4,TO,27
2019,3,5,AC,1
2019,3,5,AL,16
2019,3,5,AM,7
2019,3,5,AP,2
2019,3,5,BA,50
2019,3,5,CE,16
2019,3,5,DF,5
2019,3,5,ES,7
2019,3,5,GO,12
2019,3,5,MA,9
2019,3,5,MG,20
2019,3,5,MS,8
2019,3,5,MT,6
2019,3,5,PA,29
2019,3,5,PB,30
2019,3,5,PE,31
2019,3,5,PI,10
2019,3,5,PR,4
2019,3,5,RJ,42
2019,3,5,RN,8
2019,3,5,RO,4
2019,3,5,RR,6
2019,3,5,RS,7
2019,3,5,SC,11
2019,3,5,SE,13
2019,3,5,SP,90
2019,3,5,TO,2
2020,1,0,AC,597
2020,1,0,AL,1793
2020,1,0,AM,2171
2020,1,0,AP,644
2020,1,0,BA,7730
2020,1,0,CE,4384
2020,1,0,DF,2185
2020,1,0,ES,1187
2020,1,0,GO,3562
2020,1,0,MA,2764
2020,1,0,MG,9229
2020,1,0,MS,1030
2020,1,0,MT,1499
2020,1,0,PA,3989
2020,1,0,PB,2388
2020,1,0,PE,5031
2020,1,0,PI,1883
2020,1,0,PR,2821
2020,1,0,RJ,6325
2020,1,0,RN,1872
2020,1,0,RO,895
2020,1,0,RR,220
2020,1,0,RS,3582
2020,1,0,SC,1518
2020,1,0,SE,1345
2020,1,0,SP,10127
2020,1,0,TO,677
2020,1,1,AC,5267
2020,1,1,AL,17898
2020,1,1,AM,16315
2020,1,1,AP,6359
2020,1,1,BA,50900
2020,1,1,CE,48374
2020,1,1,DF,26356
2020,1,1,ES,25726
2020,1,1,GO,42951
2020,1,1,MA,33996
2020,1,1,MG,163062
2020,1,1,MS,25331
2020,1,1,MT,21488
2020,1,1,PA,39416
2020,1,1,PB,37077
2020,1,1,PE,68385
2020,1,1,PI,18411
2020,1,1,PR,102737
2020,1,1,RJ,111776
2020,1,1,RN,38664
2020,1,1,RO,11725
2020,1,1,RR,2060
2020,1,1,RS,141315
2020,1,1,SC,53763
2020,1,1,SE,11153
2020,1,1,SP,342730
2020,1,1,TO,7763
2020,1,2,AC,3971
2020,1,2,AL,9471
2020,1,2,AM,7300
2020,1,2,AP,5703
2020,1,2,BA,104604
2020,1,2,CE,18743
2020,1,2,DF,14168
2020,1,2,ES,13244
2020,1,2,GO,18214
2020,1,2,MA,29757
2020,1,2,MG,70737
2020,1,2,MS,5792
2020,1,2,MT,11712
2020,1,2,PA,35539
2020,1,2,PB,13045
2020,1,2,PE,30239
2020,1,2,PI,16997
2020,1,2,PR,10284
2020,1,2,RJ,58529
2020,1,2,RN,10796
2020,1,2,RO,6234
2020,1,2,RR,1031
2020,1,2,RS,17365
2020,1,2,SC,5621
2020,1,2,SE,11777
2020,1,2,SP,82242
2020,1,2,TO,7438
2020,1,3,AC,23868
2020,1,3,AL,48886
2020,1,3,AM,87742
2020,1,3,AP,26708
2020,1,3,BA,182008
2020,1,3,CE,129611
2020,1,3,DF,43908
2020,1,3,ES,37982
2020,1,3,GO,72060
2020,1,3,MA,122800
2020,1,3,MG,197317
2020,1,3,MS,29439
2020,1,3,MT,41401
2020,1,3,PA,188158
2020,1,3,PB,74901
2020,1,3,PE,127003
2020,1,3,PI,67879
2020,1,3,PR,47456
2020,1,3,RJ,109977
2020,1,3,RN,53665
2020,1,3,RO,33217
2020,1,3,RR,8967
2020,1,3,RS,27530
2020,1,3,SC,18426
2020,1,3,SE,42921
2020,1,3,SP,218293
2020,1,3,TO,26231
2020,1,4,AC,1182
2020,1,4,AL,3251
2020,1,4,AM,2145
2020,1,4,AP,640
2020,1,4,BA,8438
2020,1,4,CE,5175
2020,1,4,DF,2535
2020,1,4,ES,1277
2020,1,4,GO,5820
2020,1,4,MA,3288
2020,1,4,MG,9985
2020,1,4,MS,1378
2020,1,4,MT,1838
2020,1,4,PA,5298
2020,1,4,PB,4059
2020,1,4,PE,6846
2020,1,4,PI,2998
2020,1,4,PR,3372
2020,1,4,RJ,4687
2020,1,4,RN,2343
2020,1,4,RO,1512
2020,1,4,RR,141
2020,1,4,RS,886
2020,1,4,SC,940
2020,1,4,SE,2060
2020,1,4,SP,14215
2020,1,4,TO,1569
2020,1,5,AC,289
2020,1,5,AL,575
2020,1,5,AM,4078
2020,1,5,AP,279
2020,1,5,BA,2283
2020,1,5,CE,1198
2020,1,5,DF,403
2020,1,5,ES,357
2020,1,5,GO,585
2020,1,5,MA,633
2020,1,5,MG,1622
2020,1,5,MS,1668
2020,1,5,MT,672
2020,1,5,PA,1621
2020,1,5,PB,1276
2020,1,5,PE,3214
2020,1,5,PI,425
2020,1,5,PR,400
2020,1,5,RJ,935
2020,1,5,RN,368
2020,1,5,RO,472
2020,1,5,RR,724
2020,1,5,RS,364
2020,1,5,SC,298
2020,1,5,SE,403
2020,1,5,SP,2568
2020,1,5,TO,341
2020,2,0,AC,153
2020,2,0,AL,465
2020,2,0,AM,1122
2020,2,0,AP,192
2020,2,0,BA,2920
2020,2,0,CE,4428
2020,2,0,DF,468
2020,2,0,ES,416
2020,2,0,GO,2475
2020,2,0,MA,853
2020,2,0,MG,2083
2020,2,0,MS,334
2020,2,0,MT,502
2020,2,0,PA,977
2020,2,0,PB,710
2020,2,0,PE,2956
2020,2,0,PI,513
2020,2,0,PR,1273
2020,2,0,RJ,1719
2020,2,0,RN,370
2020,2,0,RO,353
2020,2,0,RR,70
2020,2,0,RS,1057
2020,2,0,SC,760
2020,2,0,SE,851
2020,2,0,SP,3167
2020,2,0,TO,305
2020,2,1,AC,1068
2020,2,1,AL,3319
2020,2,1,AM,5381
2020,2,1,AP,1063
2020,2,1,BA,11577
2020,2,1,CE,15091
2020,2,1,DF,6209
2020,2,1,ES,7655
2020,2,1,GO,16564
2020,2,1,MA,6692
2020,2,1,MG,40555
2020,2,1,MS,7091
2020,2,1,MT,5842
2020,2,1,PA,7792
2020,2,1,PB,6810
2020,2,1,PE,15893
2020,2,1,PI,3566
2020,2,1,PR,37902
2020,2,1,RJ,25550
2020,2,1,RN,6462
2020,2,1,RO,3687
2020,2,1,RR,582
2020,2,1,RS,38271
2020,2,1,SC,25785
2020,2,1,SE,2137
2020,2,1,SP,97619
2020,2,1,TO,2434
2020,2,2,AC,712
2020,2,2,AL,2006
2020,2,2,AM,1985
2020,2,2,AP,761
2020,2,2,BA,21538
2020,2,2,CE,6873
2020,2,2,DF,3297
2020,2,2,ES,3498
2020,2,2,GO,6950
2020,2,2,MA,5639
2020,2,2,MG,14679
2020,2,2,MS,1416
2020,2,2,MT,2798
2020,2,2,PA,6563
2020,2,2,PB,2697
2020,2,2,PE,7687
2020,2,2,PI,3324
2020,2,2,PR,2990
2020,2,2,RJ,14211
2020,2,2,RN,1925
2020,2,2,RO,1481
2020,2,2,RR,266
2020,2,2,RS,3258
2020,2,2,SC,1362
2020,2,2,SE,2347
2020,2,2,SP,18917
2020,2,2,TO,2381
2020,2,3,AC,4147
2020,2,3,AL,10334
2020,2,3,AM,31808
2020,2,3,AP,4204
2020,2,3,BA,40731
2020,2,3,CE,81498
2020,2,3,DF,10505
2020,2,3,ES,10924
2020,2,3,GO,32566
2020,2,3,MA,27944
2020,2,3,MG,49518
2020,2,3,MS,8237
2020,2,3,MT,11108
2020,2,3,PA,33473
2020,2,3,PB,15582
2020,2,3,PE,36496
2020,2,3,PI,14276
2020,2,3,PR,18155
2020,2,3,RJ,27988
2020,2,3,RN,10363
2020,2,3,RO,8882
2020,2,3,RR,2358
2020,2,3,RS,7379
2020,2,3,SC,6659
2020,2,3,SE,9310
2020,2,3,SP,60242
2020,2,3,TO,8586
2020,2,4,AC,206
2020,2,4,AL,720
2020,2,4,AM,668
2020,2,4,AP,124
2020,2,4,BA,2274
2020,2,4,CE,1539
2020,2,4,DF,606
2020,2,4,ES,396
2020,2,4,GO,2531
2020,2,4,MA,722
2020,2,4,MG,2416
2020,2,4,MS,374
2020,2,4,MT,501
2020,2,4,PA,1115
2020,2,4,PB,888
2020,2,4,PE,1846
2020,2,4,PI,723
2020,2,4,PR,1068
2020,2,4,RJ,1192
2020,2,4,RN,504
2020,2,4,RO,470
2020,2,4,RR,45
2020,2,4,RS,248
2020,2,4,SC,347
2020,2,4,SE,455
2020,2,4,SP,3561
2020,2,4,TO,541
2020,2,5,AC,63
2020,2,5,AL,216
2020,2,5,AM,1163
2020,2,5,AP,44
2020,2,5,BA,771
2020,2,5,CE,812
2020,2,5,DF,106
2020,2,5,ES,184
2020,2,5,GO,337
2020,2,5,MA,190
2020,2,5,MG,568
2020,2,5,MS,475
2020,2,5,MT,165
2020,2,5,PA,479
2020,2,5,PB,365
2020,2,5,PE,900
2020,2,5,PI,189
2020,2,5,PR,215
2020,2,5,RJ,322
2020,2,5,RN,80
2020,2,5,RO,186
2020,2,5,RR,184
2020,2,5,RS,127
2020,2,5,SC,107
2020,2,5,SE,153
2020,2,5,SP,895
2020,2,5,TO,197
2020,3,0,AC,9
2020,3,0,AL,98
2020,3,0,AM,36
2020,3,0,AP,10
2020,3,0,BA,338
2020,3,0,CE,181
2020,3,0,DF,175
2020,3,0,ES,42
2020,3,0,GO,225
2020,3,0,MA,38
2020,3,0,MG,335
2020,3,0,MS,34
2020,3,0,MT,42
2020,3,0,PA,153
2020,3,0,PB,97
2020,3,0,PE,235
2020,3,0,PI,91
2020,3,0,PR,169
2020,3,0,RJ,506
2020,3,0,RN,66
2020,3,0,RO,6
2020,3,0,RR,2
2020,3,0,RS,98
2020,3,0,SC,95
2020,3,0,SE,70
2020,3,0,SP,769
2020,3,0,TO,23
2020,3,1,AC,139
2020,3,1,AL,1547
2020,3,1,AM,679
2020,3,1,AP,241
2020,3,1,BA,4358
2020,3,1,CE,4099
