NU_ANO,TP_ESTADO_CIVIL,Q006,SG_UF_PROVA,QTD
2019,0,G,MG,236
2019,0,G,MS,55
2019,0,G,MT,68
2019,0,G,PA,127
2019,0,G,PB,51
2019,0,G,PE,113
2019,0,G,PI,32
2019,0,G,PR,156
2019,0,G,RJ,193
2019,0,G,RN,53
2019,0,G,RO,34
2019,0,G,RR,11
2019,0,G,RS,187
2019,0,G,SC,127
2019,0,G,SE,37
2019,0,G,SP,565
2019,0,G,TO,30
2019,0,G,AC,23
2019,0,G,AL,25
2019,0,G,AM,32
2019,0,G,AP,24
2019,0,G,BA,115
2019,0,G,CE,66
2019,0,G,DF,85
2019,0,G,ES,35
2019,0,G,GO,78
2019,0,G,MA,39
2019,0,G,MG,161
2019,0,G,MS,27
2019,0,G,MT,51
2019,0,G,PA,92
2019,0,G,PB,29
2019,0,G,PE,67
2019,0,G,PI,25
2019,0,G,PR,101
2019,0,G,RJ,159
2019,0,G,RN,44
2019,0,G,RO,25
2019,0,G,RR,8
2019,0,G,RS,146
2019,0,G,SC,85
2019,0,G,SE,31
2019,0,G,SP,380
2019,0,G,TO,11
2019,0,G,AC,15
2019,0,G,AL,18
2019,0,G,AM,31
2019,0,G,AP,25
2019,0,G,BA,80
2019,0,G,CE,46
2019,0,G,DF,88
2019,0,G,ES,28
2019,0,G,GO,66
2019,0,G,MA,37
2019,0,G,MG,141
2019,0,G,MS,27
2019,0,G,MT,28
2019,0,G,PA,62
2019,0,G,PB,27
2019,0,G,PE,48
2019,0,G,PI,32
2019,0,G,PR,87
2019,0,G,RJ,128
2019,0,G,RN,34
2019,0,G,RO,11
2019,0,G,RR,8
2019,0,G,RS,98
2019,0,G,SC,55
2019,0,G,SE,22
2019,0,G,SP,327
2019,0,G,TO,17
2019,0,G,AC,13
2019,0,G,AL,19
2019,0,G,AM,29
2019,0,G,AP,32
2019,0,G,BA,88
2019,0,G,CE,31
2019,0,G,DF,76
2019,0,G,ES,22
2019,0,G,GO,54
2019,0,G,MA,39
2019,0,G,MG,139
2019,0,G,MS,27
2019,0,G,MT,25
2019,0,G,PA,59
2019,0,G,PB,22
2019,0,G,PE,63
2019,0,G,PI,26
2019,0,G,PR,79
2019,0,G,RJ,126
2019,0,G,RN,36
2019,0,G,RO,17
2019,0,G,RR,5
2019,0,G,RS,89
2019,0,G,SC,48
2019,0,G,SE,28
2019,0,G,SP,308
2019,0,G,TO,13
2019,0,G,AC,13
2019,0,G,AL,25
2019,0,G,AM,47
2019,0,G,AP,18
2019,0,G,BA,142
2019,0,G,CE,76
2019,0,G,DF,115
2019,0,G,ES,43
2019,0,G,GO,68
2019,0,G,MA,45
2019,0,G,MG,228
2019,0,G,MS,29
2019,0,G,MT,58
2019,0,G,PA,70
2019,0,G,PB,42
2019,0,G,PE,80
2019,0,G,PI,32
2019,0,G,PR,106
2019,0,G,RJ,169
2019,0,G,RN,45
2019,0,G,RO,14
2019,0,G,RR,9
2019,0,G,RS,138
2019,0,G,SC,73
2019,0,G,SE,19
2019,0,G,SP,542
2019,0,G,TO,18
2019,0,G,AC,11
2019,0,G,AL,19
2019,0,G,AM,34
2019,0,G,AP,19
2019,0,G,BA,87
2019,0,G,CE,43
2019,0,G,DF,101
2019,0,G,ES,43
2019,0,G,GO,60
2019,0,G,MA,40
2019,0,G,MG,182
2019,0,G,MS,29
2019,0,G,MT,35
2019,0,G,PA,40
2019,0,G,PB,28
2019,0,G,PE,66
2019,0,G,PI,29
2019,0,G,PR,86
2019,0,G,RJ,141
2019,0,G,RN,35
2019,0,G,RO,15
2019,0,G,RR,6
2019,0,G,RS,114
2019,0,G,SC,62
2019,0,G,SE,24
2019,0,G,SP,375
2019,0,G,TO,16
2019,0,G,AC,9
2019,0,G,AL,18
2019,0,G,AM,31
2019,0,G,AP,10
2019,0,G,BA,93
2019,0,G,CE,59
2019,0,G,DF,131
2019,0,G,ES,32
2019,0,G,GO,61
2019,0,G,MA,33
2019,0,G,MG,148
2019,0,G,MS,17
2019,0,G,MT,38
2019,0,G,PA,60
2019,0,G,PB,19
2019,0,G,PE,46
2019,0,G,PI,22
2019,0,G,PR,74
2019,0,G,RJ,134
2019,0,G,RN,34
2019,0,G,RO,13
2019,0,G,RR,5
2019,0,G,RS,81
2019,0,G,SC,48
2019,0,G,SE,29
2019,0,G,SP,348
2019,0,G,TO,13
2019,0,G,AC,11
2019,0,G,AL,19
2019,0,G,AM,37
2019,0,G,AP,15
2019,0,G,BA,108
2019,0,G,CE,79
2019,0,G,DF,155
2019,0,G,ES,42
2019,0,G,GO,70
2019,0,G,MA,37
2019,0,G,MG,166
2019,0,G,MS,27
2019,0,G,MT,43
2019,0,G,PA,65
2019,0,G,PB,35
2019,0,G,PE,55
2019,0,G,PI,23
2019,0,G,PR,103
2019,0,G,RJ,182
2019,0,G,RN,25
2019,0,G,RO,19
2019,0,G,RR,10
2019,0,G,RS,111
2019,0,G,SC,63
2019,0,G,SE,33
2019,0,G,SP,534
2019,0,G,TO,12
2019,1,A,AC,2494
2019,1,A,AL,5704
2019,1,A,AM,7424
2019,1,A,AP,2433
2019,1,A,BA,25681
2019,1,A,CE,17007
2019,1,A,DF,2026
2019,1,A,ES,2242
2019,1,A,GO,3021
2019,1,A,MA,17380
2019,1,A,MG,10488
2019,1,A,MS,1383
2019,1,A,MT,1545
2019,1,A,PA,16397
2019,1,A,PB,9781
2019,1,A,PE,17185
2019,1,A,PI,11373
2019,1,A,PR,2465
2019,1,A,RJ,8913
2019,1,A,RN,6242
2019,1,A,RO,1650
2019,1,A,RR,520
2019,1,A,RS,3228
2019,1,A,SC,1032
2019,1,A,SE,5418
