NU_ANO,TP_ESCOLA,Q022,SG_UF_PROVA,QTD
2019,3,C,AL,845
2019,3,C,AM,294
2019,3,C,AP,133
2019,3,C,BA,2706
2019,3,C,CE,1633
2019,3,C,DF,812
2019,3,C,ES,509
2019,3,C,GO,1183
2019,3,C,MA,850
2019,3,C,MG,2504
2019,3,C,MS,319
2019,3,C,MT,357
2019,3,C,PA,1601
2019,3,C,PB,1093
2019,3,C,PE,1819
2019,3,C,PI,843
2019,3,C,PR,1514
2019,3,C,RJ,4800
2019,3,C,RN,756
2019,3,C,RO,111
2019,3,C,RR,32
2019,3,C,RS,1479
2019,3,C,SC,859
2019,3,C,SE,776
2019,3,C,SP,8665
2019,3,C,TO,131
2019,3,D,AC,147
2019,3,D,AL,1385
2019,3,D,AM,549
2019,3,D,AP,228
2019,3,D,BA,5147
2019,3,D,CE,3244
2019,3,D,DF,2056
2019,3,D,ES,1241
2019,3,D,GO,2664
2019,3,D,MA,1141
2019,3,D,MG,6416
2019,3,D,MS,733
2019,3,D,MT,807
2019,3,D,PA,2488
2019,3,D,PB,1918
2019,3,D,PE,3307
2019,3,D,PI,1345
2019,3,D,PR,4084
2019,3,D,RJ,10155
2019,3,D,RN,1552
2019,3,D,RO,206
2019,3,D,RR,73
2019,3,D,RS,3339
2019,3,D,SC,2479
2019,3,D,SE,1243
2019,3,D,SP,22866
2019,3,D,TO,270
2019,3,E,AC,124
2019,3,E,AL,1432
2019,3,E,AM,645
2019,3,E,AP,231
2019,3,E,BA,4262
2019,3,E,CE,3638
2019,3,E,DF,3264
2019,3,E,ES,1342
2019,3,E,GO,2846
2019,3,E,MA,1219
2019,3,E,MG,7124
2019,3,E,MS,804
2019,3,E,MT,937
2019,3,E,PA,2517
2019,3,E,PB,2067
2019,3,E,PE,3910
2019,3,E,PI,1465
2019,3,E,PR,4720
2019,3,E,RJ,9272
2019,3,E,RN,1499
2019,3,E,RO,196
2019,3,E,RR,110
2019,3,E,RS,2913
2019,3,E,SC,2288
2019,3,E,SE,1190
2019,3,E,SP,24984
2019,3,E,TO,328
2020,1,A,AC,1097
2020,1,A,AL,1885
2020,1,A,AM,3715
2020,1,A,AP,1230
2020,1,A,BA,8141
2020,1,A,CE,4126
2020,1,A,DF,1552
2020,1,A,ES,1023
2020,1,A,GO,2200
2020,1,A,MA,5873
2020,1,A,MG,4827
2020,1,A,MS,1319
2020,1,A,MT,1524
2020,1,A,PA,7460
2020,1,A,PB,2038
2020,1,A,PE,4629
2020,1,A,PI,2170
2020,1,A,PR,1639
2020,1,A,RJ,4630
2020,1,A,RN,1469
2020,1,A,RO,963
2020,1,A,RR,380
2020,1,A,RS,2539
2020,1,A,SC,912
2020,1,A,SE,1231
2020,1,A,SP,8049
2020,1,A,TO,961
2020,1,B,AC,10983
2020,1,B,AL,23670
2020,1,B,AM,36157
2020,1,B,AP,12763
2020,1,B,BA,103894
2020,1,B,CE,59407
2020,1,B,DF,19851
2020,1,B,ES,16033
2020,1,B,GO,30926
2020,1,B,MA,61549
2020,1,B,MG,84231
2020,1,B,MS,16996
2020,1,B,MT,19708
2020,1,B,PA,92812
2020,1,B,PB,35792
2020,1,B,PE,59840
2020,1,B,PI,32128
2020,1,B,PR,33531
2020,1,B,RJ,68191
2020,1,B,RN,25624
2020,1,B,RO,15338
2020,1,B,RR,3426
2020,1,B,RS,45095
2020,1,B,SC,17647
2020,1,B,SE,19478
2020,1,B,SP,123510
2020,1,B,TO,11501
2020,1,C,AC,12231
2020,1,C,AL,29131
2020,1,C,AM,40786
2020,1,C,AP,13539
2020,1,C,BA,125195
2020,1,C,CE,73646
2020,1,C,DF,26226
2020,1,C,ES,26060
2020,1,C,GO,46743
2020,1,C,MA,67363
2020,1,C,MG,142605
2020,1,C,MS,21865
2020,1,C,MT,25520
2020,1,C,PA,94734
