NU_ANO,TP_FAIXA_ETARIA,Q022,SG_UF_PROVA,QTD
2019,4,A,TO,175
2019,4,B,AC,1075
2019,4,B,AL,2620
2019,4,B,AM,3215
2019,4,B,AP,1174
2019,4,B,BA,11550
2019,4,B,CE,11149
2019,4,B,DF,1466
2019,4,B,ES,1539
2019,4,B,GO,2628
2019,4,B,MA,8470
2019,4,B,MG,7854
2019,4,B,MS,1263
2019,4,B,MT,1475
2019,4,B,PA,8881
2019,4,B,PB,3910
2019,4,B,PE,6703
2019,4,B,PI,4127
2019,4,B,PR,2635
2019,4,B,RJ,6574
2019,4,B,RN,2540
2019,4,B,RO,1300
2019,4,B,RR,282
2019,4,B,RS,3314
2019,4,B,SC,1528
2019,4,B,SE,2263
2019,4,B,SP,9290
2019,4,B,TO,1145
2019,4,C,AC,1337
2019,4,C,AL,3693
2019,4,C,AM,4119
2019,4,C,AP,1459
2019,4,C,BA,16041
2019,4,C,CE,11931
2019,4,C,DF,2742
2019,4,C,ES,3541
2019,4,C,GO,5080
2019,4,C,MA,8834
2019,4,C,MG,17808
2019,4,C,MS,1995
2019,4,C,MT,2538
2019,4,C,PA,9724
2019,4,C,PB,5564
2019,4,C,PE,10416
2019,4,C,PI,5047
2019,4,C,PR,5672
2019,4,C,RJ,12121
2019,4,C,RN,4766
2019,4,C,RO,1914
2019,4,C,RR,461
2019,4,C,RS,7695
2019,4,C,SC,3199
2019,4,C,SE,3247
2019,4,C,SP,20291
2019,4,C,TO,1707
2019,4,D,AC,970
2019,4,D,AL,2585
2019,4,D,AM,3115
2019,4,D,AP,970
2019,4,D,BA,12543
2019,4,D,CE,7395
2019,4,D,DF,3428
2019,4,D,ES,4545
2019,4,D,GO,5806
2019,4,D,MA,5568
2019,4,D,MG,21724
2019,4,D,MS,2127
2019,4,D,MT,2738
2019,4,D,PA,6332
2019,4,D,PB,3912
2019,4,D,PE,8509
2019,4,D,PI,3352
2019,4,D,PR,7504
2019,4,D,RJ,14713
