NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2020,M,4,MA,38
2020,M,4,MG,153
2020,M,4,MS,23
2020,M,4,MT,27
2020,M,4,PA,85
2020,M,4,PB,54
2020,M,4,PE,91
2020,M,4,PI,37
2020,M,4,PR,53
2020,M,4,RJ,153
2020,M,4,RN,45
2020,M,4,RO,14
2020,M,4,RR,5
2020,M,4,RS,70
2020,M,4,SC,23
2020,M,4,SE,15
2020,M,4,SP,206
2020,M,4,TO,7
2021,F,0,AC,727
2021,F,0,AL,1229
2021,F,0,AM,2522
2021,F,0,AP,754
2021,F,0,BA,7314
2021,F,0,CE,6208
2021,F,0,DF,1592
2021,F,0,ES,1387
2021,F,0,GO,3806
2021,F,0,MA,3440
2021,F,0,MG,6046
2021,F,0,MS,1207
2021,F,0,MT,1876
2021,F,0,PA,5976
2021,F,0,PB,2356
2021,F,0,PE,4445
2021,F,0,PI,2189
2021,F,0,PR,3888
2021,F,0,RJ,4700
2021,F,0,RN,1996
2021,F,0,RO,1102
2021,F,0,RR,215
2021,F,0,RS,4777
2021,F,0,SC,2497
2021,F,0,SE,1413
2021,F,0,SP,9792
2021,F,0,TO,968
2021,F,1,AC,10223
2021,F,1,AL,30501
2021,F,1,AM,46123
2021,F,1,AP,11413
2021,F,1,BA,151762
2021,F,1,CE,111342
2021,F,1,DF,35960
2021,F,1,ES,34175
2021,F,1,GO,73741
2021,F,1,MA,71585
2021,F,1,MG,184393
2021,F,1,MS,22765
2021,F,1,MT,30291
2021,F,1,PA,100139
2021,F,1,PB,52698
2021,F,1,PE,104834
2021,F,1,PI,43675
2021,F,1,PR,79554
2021,F,1,RJ,129705
2021,F,1,RN,41484
2021,F,1,RO,17073
2021,F,1,RR,4500
2021,F,1,RS,84621
2021,F,1,SC,45852
2021,F,1,SE,29911
2021,F,1,SP,283212
2021,F,1,TO,17289
2021,F,2,AC,1123
2021,F,2,AL,2741
2021,F,2,AM,2611
2021,F,2,AP,727
2021,F,2,BA,10088
2021,F,2,CE,5334
2021,F,2,DF,2701
2021,F,2,ES,2838
2021,F,2,GO,4724
2021,F,2,MA,3852
2021,F,2,MG,12198
2021,F,2,MS,1846
2021,F,2,MT,2405
2021,F,2,PA,8183
2021,F,2,PB,4602
2021,F,2,PE,6782
2021,F,2,PI,2834
2021,F,2,PR,4349
2021,F,2,RJ,9899
2021,F,2,RN,3458
2021,F,2,RO,2156
2021,F,2,RR,284
2021,F,2,RS,4309
2021,F,2,SC,1785
2021,F,2,SE,1687
2021,F,2,SP,14787
2021,F,2,TO,1110
2021,F,3,AC,295
2021,F,3,AL,749
2021,F,3,AM,755
2021,F,3,AP,190
2021,F,3,BA,2590
2021,F,3,CE,1277
2021,F,3,DF,852
2021,F,3,ES,763
2021,F,3,GO,1337
2021,F,3,MA,1020
2021,F,3,MG,3767
2021,F,3,MS,559
2021,F,3,MT,717
2021,F,3,PA,1687
2021,F,3,PB,1184
2021,F,3,PE,1851
2021,F,3,PI,697
2021,F,3,PR,1371
2021,F,3,RJ,2983
2021,F,3,RN,818
2021,F,3,RO,556
2021,F,3,RR,87
2021,F,3,RS,1624
2021,F,3,SC,652
2021,F,3,SE,583
2021,F,3,SP,5495
2021,F,3,TO,311
2021,F,4,AC,13
2021,F,4,AL,75
2021,F,4,AM,89
2021,F,4,AP,18
2021,F,4,BA,243
2021,F,4,CE,151
2021,F,4,DF,62
2021,F,4,ES,63
2021,F,4,GO,120
2021,F,4,MA,87
2021,F,4,MG,340
2021,F,4,MS,32
2021,F,4,MT,71
2021,F,4,PA,182
2021,F,4,PB,98
2021,F,4,PE,176
2021,F,4,PI,69
2021,F,4,PR,112
2021,F,4,RJ,346
2021,F,4,RN,63
2021,F,4,RO,37
2021,F,4,RR,2
2021,F,4,RS,152
2021,F,4,SC,31
2021,F,4,SE,37
2021,F,4,SP,405
2021,F,4,TO,26
2021,M,0,AC,448
2021,M,0,AL,792
2021,M,0,AM,1743
2021,M,0,AP,587
2021,M,0,BA,4198
2021,M,0,CE,4593
2021,M,0,DF,1143
2021,M,0,ES,892
2021,M,0,GO,2347
2021,M,0,MA,2156
2021,M,0,MG,3709
2021,M,0,MS,732
2021,M,0,MT,1084
2021,M,0,PA,3688
2021,M,0,PB,1685
2021,M,0,PE,3063
2021,M,0,PI,1350
2021,M,0,PR,2506
2021,M,0,RJ,3200
2021,M,0,RN,1526
2021,M,0,RO,607
2021,M,0,RR,126
2021,M,0,RS,3073
2021,M,0,SC,1613
2021,M,0,SE,885
2021,M,0,SP,7014
2021,M,0,TO,448
2021,M,1,AC,6663
2021,M,1,AL,18353
2021,M,1,AM,33540
2021,M,1,AP,7414
2021,M,1,BA,82850
2021,M,1,CE,86323
2021,M,1,DF,22766
2021,M,1,ES,21834
2021,M,1,GO,47547
2021,M,1,MA,42500
2021,M,1,MG,108205
2021,M,1,MS,13888
2021,M,1,MT,17870
2021,M,1,PA,60355
2021,M,1,PB,35209
2021,M,1,PE,66468
2021,M,1,PI,26952
2021,M,1,PR,48734
2021,M,1,RJ,79801
2021,M,1,RN,28000
2021,M,1,RO,9865
2021,M,1,RR,2613
2021,M,1,RS,48261
2021,M,1,SC,26640
2021,M,1,SE,17802
2021,M,1,SP,176696
2021,M,1,TO,9945
2021,M,2,AC,658
2021,M,2,AL,1787
2021,M,2,AM,1911
2021,M,2,AP,560
2021,M,2,BA,5789
2021,M,2,CE,4285
2021,M,2,DF,1903
2021,M,2,ES,1792
2021,M,2,GO,2471
2021,M,2,MA,2589
2021,M,2,MG,7167
2021,M,2,MS,1153
2021,M,2,MT,1366
2021,M,2,PA,4838
2021,M,2,PB,3431
2021,M,2,PE,4850
2021,M,2,PI,1805
2021,M,2,PR,2911
2021,M,2,RJ,6031
2021,M,2,RN,2903
2021,M,2,RO,1128
2021,M,2,RR,172
2021,M,2,RS,2725
2021,M,2,SC,1247
2021,M,2,SE,1167
2021,M,2,SP,9637
2021,M,2,TO,596
2021,M,3,AC,175
2021,M,3,AL,344
2021,M,3,AM,457
2021,M,3,AP,105
2021,M,3,BA,1313
2021,M,3,CE,950
2021,M,3,DF,501
2021,M,3,ES,426
2021,M,3,GO,793
2021,M,3,MA,647
2021,M,3,MG,1931
2021,M,3,MS,291
2021,M,3,MT,389
2021,M,3,PA,897
2021,M,3,PB,717
2021,M,3,PE,1103
2021,M,3,PI,384
2021,M,3,PR,835
2021,M,3,RJ,1596
2021,M,3,RN,545
2021,M,3,RO,270
2021,M,3,RR,57
2021,M,3,RS,903
2021,M,3,SC,441
2021,M,3,SE,301
2021,M,3,SP,2826
2021,M,3,TO,174
2021,M,4,AC,11
2021,M,4,AL,13
2021,M,4,AM,27
