NU_ANO,TP_FAIXA_ETARIA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,3,4,SE,2
2019,3,4,SP,20
2019,3,4,TO,1
2019,4,0,AC,135
2019,4,0,AL,178
2019,4,0,AM,271
2019,4,0,AP,110
2019,4,0,BA,1040
2019,4,0,CE,899
2019,4,0,DF,217
2019,4,0,ES,241
2019,4,0,GO,355
2019,4,0,MA,590
2019,4,0,MG,895
2019,4,0,MS,190
2019,4,0,MT,240
2019,4,0,PA,700
2019,4,0,PB,334
2019,4,0,PE,610
2019,4,0,PI,382
2019,4,0,PR,462
2019,4,0,RJ,542
2019,4,0,RN,289
2019,4,0,RO,156
2019,4,0,RR,35
2019,4,0,RS,619
2019,4,0,SC,358
2019,4,0,SE,238
2019,4,0,SP,1451
2019,4,0,TO,115
2019,4,1,AC,3799
2019,4,1,AL,10257
2019,4,1,AM,12468
2019,4,1,AP,4163
2019,4,1,BA,46114
2019,4,1,CE,35023
2019,4,1,DF,10653
2019,4,1,ES,12393
2019,4,1,GO,16999
2019,4,1,MA,25881
2019,4,1,MG,62117
2019,4,1,MS,6502
2019,4,1,MT,8294
2019,4,1,PA,28557
2019,4,1,PB,15302
2019,4,1,PE,30419
2019,4,1,PI,14339
2019,4,1,PR,20435
2019,4,1,RJ,43335
2019,4,1,RN,13553
2019,4,1,RO,5703
2019,4,1,RR,1481
2019,4,1,RS,24796
2019,4,1,SC,11217
2019,4,1,SE,8688
2019,4,1,SP,79150
2019,4,1,TO,5260
2019,4,2,AC,79
2019,4,2,AL,158
2019,4,2,AM,97
2019,4,2,AP,23
2019,4,2,BA,490
2019,4,2,CE,307
2019,4,2,DF,69
2019,4,2,ES,140
2019,4,2,GO,270
2019,4,2,MA,266
2019,4,2,MG,468
2019,4,2,MS,119
2019,4,2,MT,153
2019,4,2,PA,243
2019,4,2,PB,229
2019,4,2,PE,329
2019,4,2,PI,187
2019,4,2,PR,252
2019,4,2,RJ,241
2019,4,2,RN,111
2019,4,2,RO,201
2019,4,2,RR,12
2019,4,2,RS,192
2019,4,2,SC,132
2019,4,2,SE,95
2019,4,2,SP,640
2019,4,2,TO,85
2019,4,3,AC,25
2019,4,3,AL,48
2019,4,3,AM,68
2019,4,3,AP,26
2019,4,3,BA,230
2019,4,3,CE,138
2019,4,3,DF,91
2019,4,3,ES,67
2019,4,3,GO,106
2019,4,3,MA,148
2019,4,3,MG,305
2019,4,3,MS,39
2019,4,3,MT,67
2019,4,3,PA,146
2019,4,3,PB,50
2019,4,3,PE,152
2019,4,3,PI,53
2019,4,3,PR,107
2019,4,3,RJ,270
2019,4,3,RN,53
2019,4,3,RO,32
2019,4,3,RR,13
2019,4,3,RS,140
2019,4,3,SC,68
2019,4,3,SE,46
2019,4,3,SP,425
2019,4,3,TO,27
2019,4,4,AC,1
2019,4,4,AM,4
2019,4,4,AP,1
2019,4,4,BA,7
2019,4,4,CE,10
2019,4,4,ES,1
2019,4,4,GO,1
2019,4,4,MA,6
2019,4,4,MG,6
2019,4,4,MS,1
2019,4,4,MT,2
2019,4,4,PA,3
2019,4,4,PB,4
2019,4,4,PE,3
2019,4,4,PR,2
2019,4,4,RJ,9
2019,4,4,RN,1
2019,4,4,RO,1
2019,4,4,RS,2
2019,4,4,SE,2
2019,4,4,SP,9
2019,4,4,TO,1
2019,5,0,AC,115
2019,5,0,AL,172
2019,5,0,AM,204
2019,5,0,AP,117
2019,5,0,BA,825
2019,5,0,CE,653
2019,5,0,DF,187
2019,5,0,ES,152
2019,5,0,GO,276
2019,5,0,MA,426
2019,5,0,MG,676
2019,5,0,MS,167
2019,5,0,MT,203
2019,5,0,PA,637
2019,5,0,PB,294
2019,5,0,PE,410
2019,5,0,PI,263
2019,5,0,PR,415
2019,5,0,RJ,429
2019,5,0,RN,234
2019,5,0,RO,149
2019,5,0,RR,19
2019,5,0,RS,538
2019,5,0,SC,267
2019,5,0,SE,140
2019,5,0,SP,1052
2019,5,0,TO,132
2019,5,1,AC,3095
2019,5,1,AL,7545
2019,5,1,AM,9170
2019,5,1,AP,3326
2019,5,1,BA,35964
2019,5,1,CE,22017
2019,5,1,DF,7595
2019,5,1,ES,8484
2019,5,1,GO,11230
2019,5,1,MA,19042
2019,5,1,MG,43163
2019,5,1,MS,4353
2019,5,1,MT,5626
2019,5,1,PA,23080
2019,5,1,PB,11735
2019,5,1,PE,21280
2019,5,1,PI,10272
2019,5,1,PR,13338
2019,5,1,RJ,29214
2019,5,1,RN,10548
2019,5,1,RO,4072
2019,5,1,RR,1014
2019,5,1,RS,18087
2019,5,1,SC,6239
2019,5,1,SE,6899
