NU_ANO,TP_SEXO,TP_ESCOLA,SG_UF_PROVA,QTD
2020,M,3,SP,26138
2020,M,3,TO,322
2021,F,1,AC,9376
2021,F,1,AL,26094
2021,F,1,AM,28691
2021,F,1,AP,10233
2021,F,1,BA,114715
2021,F,1,CE,65495
2021,F,1,DF,28253
2021,F,1,ES,25484
2021,F,1,GO,46982
2021,F,1,MA,59086
2021,F,1,MG,146584
2021,F,1,MS,16940
2021,F,1,MT,24178
2021,F,1,PA,89949
2021,F,1,PB,45122
2021,F,1,PE,81819
2021,F,1,PI,36945
2021,F,1,PR,53285
2021,F,1,RJ,101855
2021,F,1,RN,35992
2021,F,1,RO,14079
2021,F,1,RR,3553
2021,F,1,RS,64190
2021,F,1,SC,29258
2021,F,1,SE,24844
2021,F,1,SP,202264
2021,F,1,TO,13202
2021,F,2,AC,2850
2021,F,2,AL,7238
2021,F,2,AM,22625
2021,F,2,AP,2622
2021,F,2,BA,50561
2021,F,2,CE,54795
2021,F,2,DF,9879
2021,F,2,ES,12245
2021,F,2,GO,33385
2021,F,2,MA,19285
2021,F,2,MG,51715
2021,F,2,MS,8478
2021,F,2,MT,10046
2021,F,2,PA,23100
2021,F,2,PB,13290
2021,F,2,PE,31630
2021,F,2,PI,10667
2021,F,2,PR,30339
2021,F,2,RJ,33049
2021,F,2,RN,9856
2021,F,2,RO,6575
2021,F,2,RR,1435
2021,F,2,RS,27121
2021,F,2,SC,18416
2021,F,2,SE,7118
2021,F,2,SP,83252
2021,F,2,TO,6107
2021,F,3,AC,155
2021,F,3,AL,1963
2021,F,3,AM,784
2021,F,3,AP,247
2021,F,3,BA,6721
2021,F,3,CE,4022
2021,F,3,DF,3035
2021,F,3,ES,1497
2021,F,3,GO,3361
2021,F,3,MA,1613
2021,F,3,MG,8445
2021,F,3,MS,991
2021,F,3,MT,1136
2021,F,3,PA,3118
2021,F,3,PB,2526
2021,F,3,PE,4639
2021,F,3,PI,1852
2021,F,3,PR,5650
2021,F,3,RJ,12729
2021,F,3,RN,1971
2021,F,3,RO,270
2021,F,3,RR,100
2021,F,3,RS,4172
2021,F,3,SC,3143
2021,F,3,SE,1669
2021,F,3,SP,28175
2021,F,3,TO,395
2021,M,1,AC,5961
2021,M,1,AL,15659
2021,M,1,AM,18827
2021,M,1,AP,6655
2021,M,1,BA,62455
2021,M,1,CE,44401
2021,M,1,DF,17659
2021,M,1,ES,15708
2021,M,1,GO,26718
2021,M,1,MA,34615
2021,M,1,MG,84901
2021,M,1,MS,10141
2021,M,1,MT,13999
2021,M,1,PA,53109
2021,M,1,PB,30103
2021,M,1,PE,50532
2021,M,1,PI,22247
2021,M,1,PR,32525
2021,M,1,RJ,62032
2021,M,1,RN,24969
2021,M,1,RO,7731
2021,M,1,RR,2070
2021,M,1,RS,36710
2021,M,1,SC,16642
2021,M,1,SE,14583
2021,M,1,SP,122410
2021,M,1,TO,7147
2021,M,2,AC,1860
2021,M,2,AL,4134
2021,M,2,AM,18143
2021,M,2,AP,1755
2021,M,2,BA,26423
2021,M,2,CE,48262
2021,M,2,DF,6070
2021,M,2,ES,7954
2021,M,2,GO,23686
2021,M,2,MA,11905
2021,M,2,MG,29250
2021,M,2,MS,5067
2021,M,2,MT,5648
2021,M,2,PA,13807
2021,M,2,PB,8761
2021,M,2,PE,20971
2021,M,2,PI,6690
2021,M,2,PR,17633
2021,M,2,RJ,18250
2021,M,2,RN,6349
2021,M,2,RO,3908
2021,M,2,RR,833
2021,M,2,RS,14911
2021,M,2,SC,10641
2021,M,2,SE,4219
2021,M,2,SP,50096
2021,M,2,TO,3706
2021,M,3,AC,134
2021,M,3,AL,1496
2021,M,3,AM,708
2021,M,3,AP,262
2021,M,3,BA,5319
2021,M,3,CE,3542
2021,M,3,DF,2605
2021,M,3,ES,1293
2021,M,3,GO,2783
2021,M,3,MA,1401
2021,M,3,MG,6934
2021,M,3,MS,873
2021,M,3,MT,1078
2021,M,3,PA,2895
2021,M,3,PB,2200
2021,M,3,PE,4025
2021,M,3,PI,1568
2021,M,3,PR,4850
2021,M,3,RJ,10432
2021,M,3,RN,1683
2021,M,3,RO,238
2021,M,3,RR,65
2021,M,3,RS,3380
2021,M,3,SC,2665
2021,M,3,SE,1363
2021,M,3,SP,23757
2021,M,3,TO,316
2022,F,1,AC,9783
2022,F,1,AL,26238
2022,F,1,AM,26039
2022,F,1,AP,9907
2022,F,1,BA,120404
2022,F,1,CE,66860
2022,F,1,DF,25191
2022,F,1,ES,23384
2022,F,1,GO,45690
2022,F,1,MA,56746
2022,F,1,MG,131903
2022,F,1,MS,16286
2022,F,1,MT,22586
2022,F,1,PA,91746
2022,F,1,PB,43073
2022,F,1,PE,76029
2022,F,1,PI,36682
2022,F,1,PR,50177
2022,F,1,RJ,98089
2022,F,1,RN,37604
2022,F,1,RO,12097
2022,F,1,RR,3446
2022,F,1,RS,59738
2022,F,1,SC,26795
2022,F,1,SE,24952
2022,F,1,SP,190425
2022,F,1,TO,11295
2022,F,2,AC,3572
2022,F,2,AL,10558
2022,F,2,AM,20106
2022,F,2,AP,3386
2022,F,2,BA,43501
2022,F,2,CE,54892
2022,F,2,DF,10992
2022,F,2,ES,13743
2022,F,2,GO,34686
2022,F,2,MA,23825
2022,F,2,MG,52313
2022,F,2,MS,9825
2022,F,2,MT,12552
2022,F,2,PA,30169
2022,F,2,PB,15536
2022,F,2,PE,33849
2022,F,2,PI,12669
2022,F,2,PR,35164
2022,F,2,RJ,43320
2022,F,2,RN,12006
2022,F,2,RO,7578
2022,F,2,RR,1651
2022,F,2,RS,30881
2022,F,2,SC,21341
2022,F,2,SE,9224
2022,F,2,SP,109553
2022,F,2,TO,6683
2022,F,3,AC,199
2022,F,3,AL,2039
2022,F,3,AM,874
2022,F,3,AP,277
2022,F,3,BA,6971
2022,F,3,CE,4143
2022,F,3,DF,3282
2022,F,3,ES,1671
2022,F,3,GO,3969
2022,F,3,MA,1807
2022,F,3,MG,9047
2022,F,3,MS,1184
2022,F,3,MT,1470
2022,F,3,PA,3555
2022,F,3,PB,2630
2022,F,3,PE,4844
2022,F,3,PI,1872
2022,F,3,PR,6232
2022,F,3,RJ,13724
2022,F,3,RN,2280
2022,F,3,RO,344
2022,F,3,RR,135
2022,F,3,RS,4626
2022,F,3,SC,3658
2022,F,3,SE,1669
2022,F,3,SP,30846
2022,F,3,TO,431
2022,M,1,AC,6185
2022,M,1,AL,16317
2022,M,1,AM,17316
2022,M,1,AP,6352
2022,M,1,BA,64267
2022,M,1,CE,45478
2022,M,1,DF,15789
2022,M,1,ES,14272
2022,M,1,GO,26192
2022,M,1,MA,33934
2022,M,1,MG,77673
2022,M,1,MS,9954
2022,M,1,MT,13557
2022,M,1,PA,54654
2022,M,1,PB,28482
2022,M,1,PE,47190
2022,M,1,PI,22950
2022,M,1,PR,31328
2022,M,1,RJ,59829
2022,M,1,RN,25833
2022,M,1,RO,6627
2022,M,1,RR,2054
2022,M,1,RS,35420
2022,M,1,SC,15445
2022,M,1,SE,15236
2022,M,1,SP,116613
2022,M,1,TO,6433
2022,M,2,AC,2676
2022,M,2,AL,7155
2022,M,2,AM,15810
2022,M,2,AP,2464
2022,M,2,BA,24502
2022,M,2,CE,51177
2022,M,2,DF,7276
2022,M,2,ES,9039
2022,M,2,GO,27761
2022,M,2,MA,15093
2022,M,2,MG,30950
2022,M,2,MS,6427
2022,M,2,MT,7926
2022,M,2,PA,19428
2022,M,2,PB,11049
2022,M,2,PE,23523
2022,M,2,PI,8489
2022,M,2,PR,21908
2022,M,2,RJ,24553
2022,M,2,RN,8373
2022,M,2,RO,5043
2022,M,2,RR,1047
2022,M,2,RS,17692
2022,M,2,SC,12341
2022,M,2,SE,5783
2022,M,2,SP,70079
2022,M,2,TO,4216
2022,M,3,AC,186
2022,M,3,AL,1638
2022,M,3,AM,841
2022,M,3,AP,288
2022,M,3,BA,5521
2022,M,3,CE,3827
2022,M,3,DF,2871
2022,M,3,ES,1591
2022,M,3,GO,3324
2022,M,3,MA,1511
2022,M,3,MG,7895
2022,M,3,MS,1007
2022,M,3,MT,1290
2022,M,3,PA,3069
2022,M,3,PB,2468
2022,M,3,PE,4160
2022,M,3,PI,1738
2022,M,3,PR,5587
2022,M,3,RJ,11375
2022,M,3,RN,1953
2022,M,3,RO,280
2022,M,3,RR,101
2022,M,3,RS,3938
2022,M,3,SC,3211
2022,M,3,SE,1448
2022,M,3,SP,26926
2022,M,3,TO,382
2023,F,1,AC,10653
2023,F,1,AL,33386
2023,F,1,AM,33861
2023,F,1,AP,12784
2023,F,1,BA,156784
2023,F,1,CE,79422
2023,F,1,DF,29114
2023,F,1,ES,28529
2023,F,1,GO,50713
2023,F,1,MA,72856
2023,F,1,MG,157647
2023,F,1,MS,18496
2023,F,1,MT,24431
2023,F,1,PA,107130
2023,F,1,PB,53794
2023,F,1,PE,92339
2023,F,1,PI,43784
2023,F,1,PR,54512
2023,F,1,RJ,118840
2023,F,1,RN,44394
2023,F,1,RO,14040
2023,F,1,RR,4098
2023,F,1,RS,64309
2023,F,1,SC,30659
2023,F,1,SE,29564
2023,F,1,SP,210894
2023,F,1,TO,13069
2023,F,2,AC,3854
2023,F,2,AL,14760
2023,F,2,AM,19680
2023,F,2,AP,3884
2023,F,2,BA,46220
2023,F,2,CE,52168
2023,F,2,DF,11485
2023,F,2,ES,14715
2023,F,2,GO,34340
2023,F,2,MA,28188
2023,F,2,MG,56416
2023,F,2,MS,9206
2023,F,2,MT,13359
2023,F,2,PA,31652
2023,F,2,PB,16853
2023,F,2,PE,35598
2023,F,2,PI,14865
2023,F,2,PR,40181
2023,F,2,RJ,41703
2023,F,2,RN,12430
2023,F,2,RO,7965
2023,F,2,RR,1805
2023,F,2,RS,30400
2023,F,2,SC,21558
2023,F,2,SE,9315
2023,F,2,SP,114489
2023,F,2,TO,6869
2023,F,3,AC,239
2023,F,3,AL,2288
2023,F,3,AM,1093
2023,F,3,AP,325
2023,F,3,BA,7954
2023,F,3,CE,4131
2023,F,3,DF,3594
2023,F,3,ES,1920
2023,F,3,GO,4467
2023,F,3,MA,2127
2023,F,3,MG,10237
2023,F,3,MS,1326
2023,F,3,MT,1732
2023,F,3,PA,4238
2023,F,3,PB,2896
2023,F,3,PE,4874
2023,F,3,PI,2106
2023,F,3,PR,6972
2023,F,3,RJ,14929
2023,F,3,RN,2510
2023,F,3,RO,432
