NU_ANO,TP_ESTADO_CIVIL,TP_FAIXA_ETARIA,SG_UF_PROVA,QTD
2019,0,6,RO,68
2019,0,6,RR,14
2019,0,6,RS,317
2019,0,6,SC,84
2019,0,6,SE,68
2019,0,6,SP,560
2019,0,6,TO,25
2019,0,6,AC,12
2019,0,6,AL,23
2019,0,6,AM,60
2019,0,6,AP,47
2019,0,6,BA,217
2019,0,6,CE,109
2019,0,6,DF,62
2019,0,6,ES,45
2019,0,6,GO,43
2019,0,6,MA,63
2019,0,6,MG,191
2019,0,6,MS,34
2019,0,6,MT,30
2019,0,6,PA,200
2019,0,6,PB,66
2019,0,6,PE,112
2019,0,6,PI,39
2019,0,6,PR,52
2019,0,6,RJ,241
2019,0,6,RN,67
2019,0,6,RO,28
2019,0,6,RR,8
2019,0,6,RS,151
2019,0,6,SC,31
2019,0,6,SE,34
2019,0,6,SP,287
2019,0,6,TO,14
2019,0,6,AC,2
2019,0,6,AL,14
2019,0,6,AM,30
2019,0,6,AP,12
2019,0,6,BA,86
2019,0,6,CE,39
2019,0,6,DF,29
2019,0,6,ES,17
2019,0,6,GO,21
2019,0,6,MA,22
2019,0,6,MG,90
2019,0,6,MS,14
2019,0,6,MT,21
2019,0,6,PA,70
2019,0,6,PB,25
2019,0,6,PE,53
2019,0,6,PI,17
2019,0,6,PR,21
2019,0,6,RJ,120
2019,0,6,RN,26
2019,0,6,RO,6
2019,0,6,RR,4
2019,0,6,RS,66
2019,0,6,SC,18
2019,0,6,SE,6
2019,0,6,SP,112
2019,0,6,TO,5
2019,0,6,AC,2
2019,0,6,AL,1
2019,0,6,AM,9
2019,0,6,AP,2
2019,0,6,BA,37
2019,0,6,CE,14
2019,0,6,DF,12
2019,0,6,ES,2
2019,0,6,GO,6
2019,0,6,MA,8
2019,0,6,MG,32
2019,0,6,MS,5
2019,0,6,MT,10
2019,0,6,PA,20
2019,0,6,PB,8
2019,0,6,PE,11
2019,0,6,PI,6
2019,0,6,PR,10
2019,0,6,RJ,42
2019,0,6,RN,4
2019,0,6,RO,4
2019,0,6,RS,18
2019,0,6,SC,6
2019,0,6,SE,2
2019,0,6,SP,45
2019,0,6,TO,2
2019,0,6,AM,1
2019,0,6,AP,1
2019,0,6,BA,6
2019,0,6,CE,6
2019,0,6,ES,3
2019,0,6,MG,10
2019,0,6,MS,1
