NU_ANO,TP_ESCOLA,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2020,1,0,PB,5583
2020,1,0,PE,8978
2020,1,0,PI,5117
2020,1,0,PR,10305
2020,1,0,RJ,12013
2020,1,0,RN,5611
2020,1,0,RO,3391
2020,1,0,RR,821
2020,1,0,RS,13716
2020,1,0,SC,6181
2020,1,0,SE,3323
2020,1,0,SP,29614
2020,1,0,TO,2289
2020,1,1,AC,26437
2020,1,1,AL,64204
2020,1,1,AM,95910
2020,1,1,AP,32956
2020,1,1,BA,290939
2020,1,1,CE,172049
2020,1,1,DF,70214
2020,1,1,ES,61755
2020,1,1,GO,114345
2020,1,1,MA,162508
2020,1,1,MG,369709
2020,1,1,MS,47995
2020,1,1,MT,60230
2020,1,1,PA,219044
2020,1,1,PB,104587
2020,1,1,PE,197188
2020,1,1,PI,89252
2020,1,1,PR,131078
2020,1,1,RJ,233091
2020,1,1,RN,84965
2020,1,1,RO,38444
2020,1,1,RR,10519
2020,1,1,RS,153566
2020,1,1,SC,64120
2020,1,1,SE,57789
2020,1,1,SP,546616
2020,1,1,TO,35948
2020,1,2,AC,5223
2020,1,2,AL,11758
2020,1,2,AM,13360
2020,1,2,AP,3641
2020,1,2,BA,39495
2020,1,2,CE,21451
2020,1,2,DF,11585
2020,1,2,ES,11769
2020,1,2,GO,17606
2020,1,2,MA,18426
2020,1,2,MG,51724
2020,1,2,MS,9879
2020,1,2,MT,10465
2020,1,2,PA,31458
2020,1,2,PB,18226
2020,1,2,PE,27777
2020,1,2,PI,11623
2020,1,2,PR,20263
2020,1,2,RJ,37256
2020,1,2,RN,14022
2020,1,2,RO,9857
2020,1,2,RR,1421
2020,1,2,RS,17672
2020,1,2,SC,7951
2020,1,2,SE,6693
2020,1,2,SP,72042
2020,1,2,TO,4640
2020,1,3,AC,1184
2020,1,3,AL,2502
2020,1,3,AM,2810
2020,1,3,AP,750
2020,1,3,BA,8084
2020,1,3,CE,4575
2020,1,3,DF,3084
2020,1,3,ES,2847
2020,1,3,GO,4530
2020,1,3,MA,3795
2020,1,3,MG,12963
2020,1,3,MS,2476
2020,1,3,MT,2578
2020,1,3,PA,5618
2020,1,3,PB,4070
2020,1,3,PE,6342
2020,1,3,PI,2407
2020,1,3,PR,5104
2020,1,3,RJ,9014
2020,1,3,RN,2915
2020,1,3,RO,2247
2020,1,3,RR,362
2020,1,3,RS,5683
2020,1,3,SC,2204
2020,1,3,SE,1761
2020,1,3,SP,20722
2020,1,3,TO,1079
2020,1,4,AC,64
2020,1,4,AL,190
2020,1,4,AM,207
2020,1,4,AP,47
2020,1,4,BA,627
2020,1,4,CE,331
2020,1,4,DF,163
2020,1,4,ES,158
2020,1,4,GO,275
2020,1,4,MA,257
2020,1,4,MG,866
2020,1,4,MS,137
2020,1,4,MT,183
2020,1,4,PA,482
2020,1,4,PB,280
2020,1,4,PE,433
2020,1,4,PI,194
2020,1,4,PR,320
2020,1,4,RJ,855
2020,1,4,RN,195
2020,1,4,RO,116
2020,1,4,RR,20
2020,1,4,RS,405
2020,1,4,SC,110
2020,1,4,SE,93
2020,1,4,SP,1181
2020,1,4,TO,63
2020,2,0,AC,326
2020,2,0,AL,614
2020,2,0,AM,1758
2020,2,0,AP,247
2020,2,0,BA,3156
2020,2,0,CE,5174
2020,2,0,DF,572
2020,2,0,ES,674
2020,2,0,GO,2546
2020,2,0,MA,1806
2020,2,0,MG,2652
2020,2,0,MS,712
2020,2,0,MT,787
2020,2,0,PA,2036
2020,2,0,PB,975
2020,2,0,PE,2697
2020,2,0,PI,960
2020,2,0,PR,1890
2020,2,0,RJ,1656
2020,2,0,RN,602
2020,2,0,RO,674
2020,2,0,RR,169
2020,2,0,RS,1530
2020,2,0,SC,1190
2020,2,0,SE,944
2020,2,0,SP,5119
2020,2,0,TO,677
2020,2,1,AC,5815
2020,2,1,AL,15901
2020,2,1,AM,39367
2020,2,1,AP,6042
2020,2,1,BA,74956
2020,2,1,CE,102706
2020,2,1,DF,20136
2020,2,1,ES,21720
2020,2,1,GO,56662
2020,2,1,MA,39491
2020,2,1,MG,104896
2020,2,1,MS,16725
2020,2,1,MT,19579
2020,2,1,PA,47132
2020,2,1,PB,25223
2020,2,1,PE,61341
2020,2,1,PI,20996
2020,2,1,PR,58400
2020,2,1,RJ,67262
2020,2,1,RN,18612
2020,2,1,RO,13463
2020,2,1,RR,3276
2020,2,1,RS,47864
2020,2,1,SC,33195
2020,2,1,SE,13929
2020,2,1,SP,175370
2020,2,1,TO,13337
2020,2,2,AC,156
2020,2,2,AL,395
2020,2,2,AM,670
2020,2,2,AP,61
2020,2,2,BA,1172
2020,2,2,CE,1832
2020,2,2,DF,248
2020,2,2,ES,466
2020,2,2,GO,1581
2020,2,2,MA,458
2020,2,2,MG,1407
2020,2,2,MS,318
2020,2,2,MT,374
2020,2,2,PA,893
2020,2,2,PB,651
2020,2,2,PE,1255
2020,2,2,PI,496
2020,2,2,PR,886
2020,2,2,RJ,1370
2020,2,2,RN,374
2020,2,2,RO,740
2020,2,2,RR,31
2020,2,2,RS,593
2020,2,2,SC,406
2020,2,2,SE,269
2020,2,2,SP,2422
2020,2,2,TO,302
2020,2,3,AC,51
2020,2,3,AL,138
2020,2,3,AM,312
2020,2,3,AP,35
2020,2,3,BA,497
2020,2,3,CE,476
2020,2,3,DF,228
2020,2,3,ES,207
2020,2,3,GO,588
2020,2,3,MA,269
2020,2,3,MG,821
2020,2,3,MS,165
2020,2,3,MT,168
2020,2,3,PA,318
2020,2,3,PB,190
2020,2,3,PE,459
2020,2,3,PI,129
2020,2,3,PR,413
2020,2,3,RJ,658
2020,2,3,RN,108
2020,2,3,RO,167
2020,2,3,RR,29
2020,2,3,RS,332
2020,2,3,SC,221
2020,2,3,SE,102
2020,2,3,SP,1419
2020,2,3,TO,118
2020,2,4,AC,1
2020,2,4,AL,12
2020,2,4,AM,20
2020,2,4,AP,3
2020,2,4,BA,30
2020,2,4,CE,53
2020,2,4,DF,7
2020,2,4,ES,6
2020,2,4,GO,46
2020,2,4,MA,16
2020,2,4,MG,43
2020,2,4,MS,7
2020,2,4,MT,8
2020,2,4,PA,20
2020,2,4,PB,13
2020,2,4,PE,26
2020,2,4,PI,10
2020,2,4,PR,14
2020,2,4,RJ,36
2020,2,4,RN,8
2020,2,4,RO,15
2020,2,4,RS,21
2020,2,4,SC,8
2020,2,4,SE,9
2020,2,4,SP,71
2020,2,4,TO,10
2020,3,0,AC,14
2020,3,0,AL,130
2020,3,0,AM,70
2020,3,0,AP,32
2020,3,0,BA,558
2020,3,0,CE,297
2020,3,0,DF,254
2020,3,0,ES,109
2020,3,0,GO,230
2020,3,0,MA,141
2020,3,0,MG,420
2020,3,0,MS,78
2020,3,0,MT,88
2020,3,0,PA,350
2020,3,0,PB,153
2020,3,0,PE,324
2020,3,0,PI,145
2020,3,0,PR,403
2020,3,0,RJ,703
2020,3,0,RN,111
2020,3,0,RO,29
2020,3,0,RR,12
2020,3,0,RS,259
2020,3,0,SC,225
2020,3,0,SE,129
2020,3,0,SP,1827
2020,3,0,TO,31
2020,3,1,AC,284
2020,3,1,AL,3461
2020,3,1,AM,1468
2020,3,1,AP,506
2020,3,1,BA,11269
2020,3,1,CE,7599
2020,3,1,DF,5873
2020,3,1,ES,2834
2020,3,1,GO,6167
2020,3,1,MA,2828
2020,3,1,MG,14883
2020,3,1,MS,1876
2020,3,1,MT,2101
2020,3,1,PA,6058
2020,3,1,PB,4974
2020,3,1,PE,8680
2020,3,1,PI,3331
2020,3,1,PR,10451
2020,3,1,RJ,23371
2020,3,1,RN,3675
2020,3,1,RO,443
2020,3,1,RR,223
2020,3,1,RS,7425
2020,3,1,SC,5272
2020,3,1,SE,3141
2020,3,1,SP,53558
2020,3,1,TO,705
2020,3,2,AC,2
2020,3,2,AL,4
2020,3,2,AM,2
2020,3,2,BA,19
2020,3,2,CE,20
2020,3,2,DF,18
2020,3,2,ES,6
2020,3,2,GO,17
2020,3,2,MA,8
2020,3,2,MG,46
2020,3,2,MS,15
2020,3,2,MT,6
2020,3,2,PA,14
2020,3,2,PB,16
2020,3,2,PE,21
2020,3,2,PI,3
2020,3,2,PR,43
2020,3,2,RJ,58
2020,3,2,RN,8
2020,3,2,RO,5
2020,3,2,RS,16
2020,3,2,SC,26
2020,3,2,SE,4
2020,3,2,SP,244
2020,3,2,TO,4
2020,3,3,AC,1
2020,3,3,AL,22
2020,3,3,AM,8
2020,3,3,AP,4
2020,3,3,BA,69
2020,3,3,CE,38
2020,3,3,DF,41
2020,3,3,ES,16
2020,3,3,GO,39
2020,3,3,MA,16
2020,3,3,MG,88
2020,3,3,MS,14
2020,3,3,MT,6
2020,3,3,PA,40
2020,3,3,PB,24
2020,3,3,PE,47
2020,3,3,PI,15
2020,3,3,PR,64
2020,3,3,RJ,133
2020,3,3,RN,18
2020,3,3,RO,3
2020,3,3,RR,2
2020,3,3,RS,48
2020,3,3,SC,42
2020,3,3,SE,19
2020,3,3,SP,276
2020,3,3,TO,6
2020,3,4,BA,2
2020,3,4,ES,1
2020,3,4,GO,1
2020,3,4,MA,1
2020,3,4,MG,3
2020,3,4,PA,1
2020,3,4,PE,1
2020,3,4,PR,1
2020,3,4,RJ,4
2020,3,4,RN,1
2020,3,4,SC,2
2020,3,4,SP,11
2021,1,0,AC,902
2021,1,0,AL,1515
2021,1,0,AM,2480
2021,1,0,AP,1131
2021,1,0,BA,7743
2021,1,0,CE,4402
2021,1,0,DF,2101
2021,1,0,ES,1585
2021,1,0,GO,2849
