NU_ANO,Q006,SG_UF_PROVA,QTD
2020,C,AM,28865
2020,C,AP,7301
2020,C,BA,74702
2020,C,CE,49627
2020,C,DF,21490
2020,C,ES,21672
2020,C,GO,46448
2020,C,MA,37733
2020,C,MG,112231
2020,C,MS,18117
2020,C,MT,21082
2020,C,PA,57567
2020,C,PB,26339
2020,C,PE,51493
2020,C,PI,19462
2020,C,PR,45504
2020,C,RJ,76017
2020,C,RN,21327
2020,C,RO,14838
2020,C,RR,2999
2020,C,RS,50648
2020,C,SC,21176
2020,C,SE,13059
2020,C,SP,166166
2020,C,TO,10640
2020,D,AC,3594
2020,D,AL,9547
2020,D,AM,14560
2020,D,AP,3614
2020,D,BA,43491
2020,D,CE,27436
2020,D,DF,14228
2020,D,ES,15585
2020,D,GO,32289
2020,D,MA,20260
2020,D,MG,90902
2020,D,MS,12993
2020,D,MT,15631
2020,D,PA,31031
2020,D,PB,16151
2020,D,PE,29808
2020,D,PI,11688
2020,D,PR,39754
2020,D,RJ,51541
2020,D,RN,14207
2020,D,RO,9697
2020,D,RR,1924
2020,D,RS,39045
2020,D,SC,19185
2020,D,SE,7999
2020,D,SP,140423
2020,D,TO,6564
2020,E,AC,1457
2020,E,AL,3695
2020,E,AM,5621
2020,E,AP,1479
2020,E,BA,17032
2020,E,CE,10276
2020,E,DF,6362
2020,E,ES,7810
2020,E,GO,14375
2020,E,MA,7605
2020,E,MG,43590
2020,E,MS,5495
2020,E,MT,7179
2020,E,PA,12096
2020,E,PB,6234
2020,E,PE,12116
2020,E,PI,4403
2020,E,PR,21617
2020,E,RJ,25197
2020,E,RN,6002
2020,E,RO,4043
2020,E,RR,847
2020,E,RS,21415
2020,E,SC,11586
2020,E,SE,3003
2020,E,SP,76112
2020,E,TO,2699
2020,F,AC,1536
2020,F,AL,3670
2020,F,AM,5230
2020,F,AP,1645
2020,F,BA,17007
2020,F,CE,10142
2020,F,DF,6612
2020,F,ES,7829
2020,F,GO,13707
2020,F,MA,7780
2020,F,MG,45624
2020,F,MS,5608
2020,F,MT,7323
2020,F,PA,12347
2020,F,PB,6313
2020,F,PE,11793
2020,F,PI,4897
2020,F,PR,23571
2020,F,RJ,25673
2020,F,RN,6112
2020,F,RO,4186
2020,F,RR,973
2020,F,RS,22154
2020,F,SC,13212
2020,F,SE,3143
2020,F,SP,84394
2020,F,TO,3000
2020,G,AC,1042
2020,G,AL,2616
2020,G,AM,3562
2020,G,AP,1184
2020,G,BA,11367
2020,G,CE,7063
2020,G,DF,4804
2020,G,ES,5354
2020,G,GO,8892
2020,G,MA,5101
2020,G,MG,32098
2020,G,MS,3680
2020,G,MT,4957
2020,G,PA,8185
2020,G,PB,4338
2020,G,PE,8301
2020,G,PI,3384
2020,G,PR,17078
2020,G,RJ,18227
2020,G,RN,4472
2020,G,RO,2736
2020,G,RR,661
2020,G,RS,16222
2020,G,SC,10372
2020,G,SE,2316
2020,G,SP,62584
2020,G,TO,1984
2020,H,AC,848
2020,H,AL,1832
2020,H,AM,2378
2020,H,AP,936
2020,H,BA,7564
2020,H,CE,4612
2020,H,DF,3982
2020,H,ES,3409
2020,H,GO,5844
2020,H,MA,3604
2020,H,MG,20700
2020,H,MS,2585
2020,H,MT,3491
2020,H,PA,5326
2020,H,PB,2833
2020,H,PE,5680
2020,H,PI,2093
2020,H,PR,11347
2020,H,RJ,13218
2020,H,RN,3044
2020,H,RO,1719
2020,H,RR,487
2020,H,RS,10793
2020,H,SC,7045
2020,H,SE,1709
2020,H,SP,42863
2020,H,TO,1374
2020,I,AC,463
2020,I,AL,1102
2020,I,AM,1277
2020,I,AP,518
2020,I,BA,4271
2020,I,CE,2647
2020,I,DF,2774
2020,I,ES,1953
2020,I,GO,3512
2020,I,MA,1966
2020,I,MG,11705
2020,I,MS,1557
2020,I,MT,2025
2020,I,PA,3062
2020,I,PB,1521
2020,I,PE,3166
2020,I,PI,1190
2020,I,PR,6578
2020,I,RJ,8208
2020,I,RN,1800
2020,I,RO,953
2020,I,RR,287
2020,I,RS,5947
2020,I,SC,3974
2020,I,SE,1000
2020,I,SP,24676
2020,I,TO,769
2020,J,AC,285
2020,J,AL,597
2020,J,AM,699
2020,J,AP,351
2020,J,BA,2472
2020,J,CE,1548
2020,J,DF,1944
2020,J,ES,1184
2020,J,GO,2020
2020,J,MA,1063
2020,J,MG,6770
2020,J,MS,899
2020,J,MT,1114
2020,J,PA,1628
2020,J,PB,912
2020,J,PE,1944
2020,J,PI,723
2020,J,PR,3711
2020,J,RJ,5218
2020,J,RN,1057
2020,J,RO,490
2020,J,RR,166
2020,J,RS,3419
2020,J,SC,2295
2020,J,SE,605
2020,J,SP,14718
2020,J,TO,460
2020,K,AC,195
2020,K,AL,487
2020,K,AM,562
2020,K,AP,262
2020,K,BA,1886
2020,K,CE,1213
2020,K,DF,1771
2020,K,ES,906
2020,K,GO,1539
2020,K,MA,771
2020,K,MG,5367
2020,K,MS,642
2020,K,MT,883
2020,K,PA,1257
2020,K,PB,778
2020,K,PE,1585
2020,K,PI,508
2020,K,PR,2970
2020,K,RJ,4165
2020,K,RN,832
2020,K,RO,342
2020,K,RR,128
2020,K,RS,2560
2020,K,SC,1683
2020,K,SE,514
2020,K,SP,11442
2020,K,TO,308
2020,L,AC,155
2020,L,AL,340
2020,L,AM,401
2020,L,AP,183
2020,L,BA,1448
2020,L,CE,950
2020,L,DF,1394
2020,L,ES,712
2020,L,GO,1117
2020,L,MA,607
2020,L,MG,3938
2020,L,MS,518
2020,L,MT,663
2020,L,PA,902
2020,L,PB,600
2020,L,PE,1152
2020,L,PI,386
2020,L,PR,2153
2020,L,RJ,3150
2020,L,RN,589
2020,L,RO,271
2020,L,RR,111
2020,L,RS,1964
2020,L,SC,1312
2020,L,SE,329
2020,L,SP,8783
2020,L,TO,257
2020,M,AC,204
2020,M,AL,458
2020,M,AM,574
2020,M,AP,242
2020,M,BA,1865
2020,M,CE,1293
2020,M,DF,2113
2020,M,ES,921
2020,M,GO,1483
2020,M,MA,802
2020,M,MG,5231
2020,M,MS,765
2020,M,MT,892
2020,M,PA,1219
2020,M,PB,799
2020,M,PE,1626
2020,M,PI,545
2020,M,PR,2829
2020,M,RJ,4509
2020,M,RN,868
2020,M,RO,332
2020,M,RR,117
2020,M,RS,2627
2020,M,SC,1628
2020,M,SE,477
2020,M,SP,12320
2020,M,TO,368
2020,N,AC,169
2020,N,AL,450
2020,N,AM,529
2020,N,AP,231
2020,N,BA,1843
2020,N,CE,1409
2020,N,DF,2055
2020,N,ES,944
2020,N,GO,1520
2020,N,MA,724
2020,N,MG,5002
2020,N,MS,662
2020,N,MT,870
2020,N,PA,945
2020,N,PB,833
2020,N,PE,1570
2020,N,PI,525
2020,N,PR,2854
2020,N,RJ,4468
2020,N,RN,795
2020,N,RO,289
2020,N,RR,148
2020,N,RS,2475
2020,N,SC,1535
2020,N,SE,491
2020,N,SP,11431
2020,N,TO,339
2020,O,AC,141
2020,O,AL,411
2020,O,AM,489
2020,O,AP,201
2020,O,BA,1659
2020,O,CE,1116
2020,O,DF,2265
2020,O,ES,816
2020,O,GO,1294
2020,O,MA,567
2020,O,MG,4532
2020,O,MS,571
2020,O,MT,799
2020,O,PA,887
2020,O,PB,705
2020,O,PE,1383
2020,O,PI,471
2020,O,PR,2453
2020,O,RJ,4194
2020,O,RN,743
2020,O,RO,217
2020,O,RR,95
2020,O,RS,2250
2020,O,SC,1310
2020,O,SE,456
2020,O,SP,10719
2020,O,TO,323
2020,P,AC,128
2020,P,AL,437
2020,P,AM,445
2020,P,AP,152
2020,P,BA,1571
2020,P,CE,1286
2020,P,DF,2401
2020,P,ES,792
2020,P,GO,1268
2020,P,MA,603
2020,P,MG,4193
2020,P,MS,550
2020,P,MT,736
2020,P,PA,860
2020,P,PB,663
2020,P,PE,1512
2020,P,PI,447
2020,P,PR,2322
2020,P,RJ,4296
2020,P,RN,758
2020,P,RO,227
2020,P,RR,95
2020,P,RS,2036
2020,P,SC,1206
2020,P,SE,378
2020,P,SP,10765
2020,P,TO,318
2020,Q,AC,139
2020,Q,AL,480
2020,Q,AM,562
2020,Q,AP,146
2020,Q,BA,1902
2020,Q,CE,1630
2020,Q,DF,3353
2020,Q,ES,955
2020,Q,GO,1637
2020,Q,MA,679
2020,Q,MG,4942
2020,Q,MS,609
2020,Q,MT,925
2020,Q,PA,939
2020,Q,PB,762
2020,Q,PE,2072
2020,Q,PI,521
2020,Q,PR,2532
2020,Q,RJ,5543
2020,Q,RN,840
2020,Q,RO,185
2020,Q,RR,99
2020,Q,RS,2441
2020,Q,SC,1376
2020,Q,SE,499
2020,Q,SP,15039
2020,Q,TO,288
2021,A,AC,1767
2021,A,AL,4891
2021,A,AM,9926
2021,A,AP,1746
2021,A,BA,25669
2021,A,CE,22151
2021,A,DF,2327
2021,A,ES,2024
2021,A,GO,3986
2021,A,MA,14658
2021,A,MG,9586
2021,A,MS,1222
2021,A,MT,1512
2021,A,PA,16749
2021,A,PB,10621
2021,A,PE,18831
2021,A,PI,10064
2021,A,PR,2448
2021,A,RJ,10216
2021,A,RN,5965
2021,A,RO,1496
2021,A,RR,425
2021,A,RS,3384
2021,A,SC,1102
2021,A,SE,5506
2021,A,SP,11968
2021,A,TO,1874
2021,B,AC,7809
2021,B,AL,21652
2021,B,AM,39029
2021,B,AP,8850
2021,B,BA,104677
2021,B,CE,107960
2021,B,DF,12968
2021,B,ES,13243
2021,B,GO,30562
2021,B,MA,53916
2021,B,MG,62068
2021,B,MS,8303
2021,B,MT,9828
2021,B,PA,76478
2021,B,PB,41349
2021,B,PE,77805
2021,B,PI,32910
2021,B,PR,15163
2021,B,RJ,49641
2021,B,RN,28922
2021,B,RO,8310
2021,B,RR,2315
2021,B,RS,21733
2021,B,SC,6685
2021,B,SE,21368
2021,B,SP,59888
2021,B,TO,9406
2021,C,AC,3549
2021,C,AL,9624
2021,C,AM,16081
2021,C,AP,3808
2021,C,BA,45781
2021,C,CE,34122
2021,C,DF,11155
2021,C,ES,12355
2021,C,GO,28767
2021,C,MA,21471
2021,C,MG,58150
2021,C,MS,7857
2021,C,MT,10277
2021,C,PA,34800
2021,C,PB,16434
2021,C,PE,32846
2021,C,PI,12434
2021,C,PR,22544
2021,C,RJ,43318
2021,C,RN,13423
2021,C,RO,6650
2021,C,RR,1346
2021,C,RS,26423
2021,C,SC,10862
2021,C,SE,8812
2021,C,SP,77586
2021,C,TO,5468
2021,D,AC,2145
2021,D,AL,6207
2021,D,AM,8658
2021,D,AP,1989
2021,D,BA,28745
2021,D,CE,18994
2021,D,DF,8020
2021,D,ES,9639
2021,D,GO,22313
2021,D,MA,12751
2021,D,MG,50772
2021,D,MS,6857
2021,D,MT,8493
2021,D,PA,19582
2021,D,PB,10994
2021,D,PE,20308
2021,D,PI,7793
2021,D,PR,22476
2021,D,RJ,31965
2021,D,RN,9457
2021,D,RO,4949
2021,D,RR,976
2021,D,RS,23122
2021,D,SC,11548
2021,D,SE,5364
2021,D,SP,74445
2021,D,TO,3916
2021,E,AC,910
2021,E,AL,2516
2021,E,AM,3384
2021,E,AP,813
2021,E,BA,11976
2021,E,CE,7434
2021,E,DF,3682
2021,E,ES,5082
2021,E,GO,10524
2021,E,MA,5186
2021,E,MG,26023
2021,E,MS,3192
2021,E,MT,4251
2021,E,PA,7779
2021,E,PB,4340
2021,E,PE,8109
2021,E,PI,3176
2021,E,PR,12915
2021,E,RJ,15736
2021,E,RN,3954
2021,E,RO,2271
2021,E,RR,436
2021,E,RS,12800
2021,E,SC,7220
2021,E,SE,2143
2021,E,SP,42385
2021,E,TO,1706
2021,F,AC,948
2021,F,AL,2712
2021,F,AM,3169
2021,F,AP,943
2021,F,BA,12420
2021,F,CE,7190
2021,F,DF,4147
2021,F,ES,5303
2021,F,GO,10548
2021,F,MA,5325
2021,F,MG,28781
2021,F,MS,3572
2021,F,MT,5021
2021,F,PA,8031
2021,F,PB,4365
2021,F,PE,8343
2021,F,PI,3451
2021,F,PR,15700
2021,F,RJ,17561
2021,F,RN,4307
2021,F,RO,2581
2021,F,RR,498
2021,F,RS,14386
2021,F,SC,9021
2021,F,SE,2299
2021,F,SP,50745
2021,F,TO,1986
2021,G,AC,788
2021,G,AL,2213
2021,G,AM,2436
2021,G,AP,761
2021,G,BA,9735
2021,G,CE,5784
2021,G,DF,3374
2021,G,ES,4270
2021,G,GO,7923
2021,G,MA,3986
2021,G,MG,24466
2021,G,MS,2774
2021,G,MT,3969
2021,G,PA,6268
2021,G,PB,3537
2021,G,PE,6646
2021,G,PI,2730
2021,G,PR,13801
2021,G,RJ,14286
2021,G,RN,3616
2021,G,RO,2002
2021,G,RR,451
2021,G,RS,12571
2021,G,SC,8834
2021,G,SE,1960
2021,G,SP,44901
2021,G,TO,1627
2021,H,AC,605
2021,H,AL,1744
2021,H,AM,1923
2021,H,AP,743
2021,H,BA,7275
2021,H,CE,4276
2021,H,DF,3343
2021,H,ES,3176
2021,H,GO,5905
2021,H,MA,3048
2021,H,MG,17825
2021,H,MS,2158
2021,H,MT,3282
2021,H,PA,4734
2021,H,PB,2559
2021,H,PE,4957
2021,H,PI,1990
2021,H,PR,10215
2021,H,RJ,11938
2021,H,RN,2779
2021,H,RO,1432
2021,H,RR,372
2021,H,RS,9605
2021,H,SC,6890
2021,H,SE,1537
2021,H,SP,35799
2021,H,TO,1274
2021,I,AC,422
2021,I,AL,1105
2021,I,AM,1072
2021,I,AP,476
2021,I,BA,4428
2021,I,CE,2538
2021,I,DF,2410
2021,I,ES,1936
2021,I,GO,3548
2021,I,MA,1763
2021,I,MG,10862
2021,I,MS,1407
2021,I,MT,2023
2021,I,PA,2686
2021,I,PB,1577
2021,I,PE,3115
2021,I,PI,1251
2021,I,PR,6388
2021,I,RJ,7934
2021,I,RN,1773
2021,I,RO,805
2021,I,RR,294
2021,I,RS,5665
2021,I,SC,4344
2021,I,SE,1062
2021,I,SP,22236
2021,I,TO,778
2021,J,AC,253
2021,J,AL,659
2021,J,AM,709
2021,J,AP,282
2021,J,BA,2574
2021,J,CE,1491
2021,J,DF,1741
2021,J,ES,1187
2021,J,GO,2102
2021,J,MA,1032
2021,J,MG,6559
2021,J,MS,846
2021,J,MT,1197
2021,J,PA,1661
2021,J,PB,959
2021,J,PE,1917
2021,J,PI,765
2021,J,PR,3808
2021,J,RJ,5118
2021,J,RN,1105
2021,J,RO,472
2021,J,RR,168
2021,J,RS,3536
2021,J,SC,2566
2021,J,SE,609
2021,J,SP,13742
2021,J,TO,434
2021,K,AC,180
2021,K,AL,535
2021,K,AM,528
2021,K,AP,260
2021,K,BA,2060
