NU_ANO,TP_ESTADO_CIVIL,TP_COR_RACA,SG_UF_PROVA,QTD
2019,1,2,RS,12885
2019,1,2,SC,4182
2019,1,2,SE,10938
2019,1,2,SP,71855
2019,1,2,TO,6162
2019,1,3,AC,20390
2019,1,3,AL,44490
2019,1,3,AM,73334
2019,1,3,AP,23800
2019,1,3,BA,173073
2019,1,3,CE,173368
2019,1,3,DF,38157
2019,1,3,ES,39955
2019,1,3,GO,71191
2019,1,3,MA,121677
2019,1,3,MG,201401
2019,1,3,MS,24691
2019,1,3,MT,37841
2019,1,3,PA,160592
2019,1,3,PB,69250
2019,1,3,PE,126568
2019,1,3,PI,66023
2019,1,3,PR,46913
2019,1,3,RJ,104334
2019,1,3,RN,49941
2019,1,3,RO,26864
2019,1,3,RR,7632
2019,1,3,RS,23851
2019,1,3,SC,16549
2019,1,3,SE,42208
2019,1,3,SP,214273
2019,1,3,TO,23846
2019,1,4,AC,1007
2019,1,4,AL,2937
2019,1,4,AM,1874
2019,1,4,AP,525
2019,1,4,BA,8625
2019,1,4,CE,5782
2019,1,4,DF,2216
2019,1,4,ES,1422
2019,1,4,GO,6029
2019,1,4,MA,3117
2019,1,4,MG,10101
2019,1,4,MS,1348
2019,1,4,MT,1717
2019,1,4,PA,4727
2019,1,4,PB,3820
2019,1,4,PE,6843
2019,1,4,PI,3119
2019,1,4,PR,4005
2019,1,4,RJ,4698
2019,1,4,RN,2302
2019,1,4,RO,1258
2019,1,4,RR,127
2019,1,4,RS,908
2019,1,4,SC,960
2019,1,4,SE,2052
2019,1,4,SP,16943
2019,1,4,TO,1361
2019,1,5,AC,252
2019,1,5,AL,568
2019,1,5,AM,3126
2019,1,5,AP,193
2019,1,5,BA,2375
2019,1,5,CE,1555
2019,1,5,DF,376
2019,1,5,ES,503
2019,1,5,GO,594
2019,1,5,MA,755
2019,1,5,MG,1839
2019,1,5,MS,1285
2019,1,5,MT,476
2019,1,5,PA,1482
2019,1,5,PB,1248
2019,1,5,PE,3097
2019,1,5,PI,529
2019,1,5,PR,383
2019,1,5,RJ,989
2019,1,5,RN,394
2019,1,5,RO,412
