NU_ANO,Q024,TP_ESTADO_CIVIL,SG_UF_PROVA,QTD
2019,D,4,PB,2
2019,D,4,PI,1
2019,D,4,PR,3
2019,D,4,RJ,9
2019,D,4,RS,6
2019,D,4,SC,1
2019,D,4,SE,2
2019,D,4,SP,8
2019,E,0,AC,3
2019,E,0,AL,15
2019,E,0,AM,27
2019,E,0,AP,6
2019,E,0,BA,67
2019,E,0,CE,66
2019,E,0,DF,110
2019,E,0,ES,29
2019,E,0,GO,53
2019,E,0,MA,14
2019,E,0,MG,155
2019,E,0,MS,21
2019,E,0,MT,22
2019,E,0,PA,50
2019,E,0,PB,42
2019,E,0,PE,62
2019,E,0,PI,18
2019,E,0,PR,101
2019,E,0,RJ,134
2019,E,0,RN,28
2019,E,0,RO,4
2019,E,0,RR,10
2019,E,0,RS,100
2019,E,0,SC,55
2019,E,0,SE,19
2019,E,0,SP,474
2019,E,0,TO,2
2019,E,1,AC,71
2019,E,1,AL,349
2019,E,1,AM,424
2019,E,1,AP,120
2019,E,1,BA,1370
2019,E,1,CE,1289
2019,E,1,DF,2228
2019,E,1,ES,815
2019,E,1,GO,1085
2019,E,1,MA,439
2019,E,1,MG,5222
2019,E,1,MS,451
2019,E,1,MT,507
2019,E,1,PA,693
2019,E,1,PB,798
2019,E,1,PE,1672
2019,E,1,PI,387
2019,E,1,PR,2841
2019,E,1,RJ,4712
2019,E,1,RN,708
2019,E,1,RO,164
2019,E,1,RR,118
2019,E,1,RS,2496
2019,E,1,SC,1503
2019,E,1,SE,339
2019,E,1,SP,13074
2019,E,1,TO,195
2019,E,2,AC,6
2019,E,2,AL,22
2019,E,2,AM,24
2019,E,2,AP,13
2019,E,2,BA,62
2019,E,2,CE,63
2019,E,2,DF,120
2019,E,2,ES,24
2019,E,2,GO,39
2019,E,2,MA,24
2019,E,2,MG,156
2019,E,2,MS,12
2019,E,2,MT,29
2019,E,2,PA,29
2019,E,2,PB,36
2019,E,2,PE,67
2019,E,2,PI,18
2019,E,2,PR,76
2019,E,2,RJ,159
2019,E,2,RN,62
2019,E,2,RO,14
2019,E,2,RR,3
2019,E,2,RS,70
2019,E,2,SC,18
2019,E,2,SE,16
2019,E,2,SP,225
2019,E,2,TO,7
2019,E,3,AC,1
2019,E,3,AL,4
2019,E,3,AM,7
2019,E,3,AP,2
2019,E,3,BA,11
2019,E,3,CE,6
2019,E,3,DF,33
2019,E,3,ES,7
2019,E,3,GO,6
2019,E,3,MA,4
2019,E,3,MG,41
2019,E,3,MS,3
2019,E,3,MT,6
2019,E,3,PA,7
2019,E,3,PB,4
2019,E,3,PE,20
2019,E,3,PI,4
2019,E,3,PR,30
2019,E,3,RJ,46
2019,E,3,RN,8
2019,E,3,RO,2
2019,E,3,RS,18
2019,E,3,SC,11
2019,E,3,SP,98
2019,E,3,TO,2
2019,E,4,BA,1
2019,E,4,CE,3
2019,E,4,DF,1
2019,E,4,ES,1
2019,E,4,MA,1
2019,E,4,MG,3
2019,E,4,PB,2
2019,E,4,PI,4
2019,E,4,PR,1
2019,E,4,RJ,4
2019,E,4,SC,1
2019,E,4,SP,3
2020,A,0,AC,1703
2020,A,0,AL,2413
2020,A,0,AM,6028
2020,A,0,AP,2044
2020,A,0,BA,11836
