SG_UF_PROVA,NO_MUNICIPIO_PROVA,PRESENCA,NU_ANO
BA,Jussara,0.6496350364963503,2019
BA,Lapão,0.7574404761904762,2019
BA,Lauro de Freitas,0.7275290800140994,2019
BA,Livramento de Nossa Senhora,0.8018664752333095,2019
BA,Luís Eduardo Magalhães,0.7179190751445087,2019
BA,Macaúbas,0.803680981595092,2019
BA,Maracás,0.761576354679803,2019
BA,Maragogipe,0.7189922480620154,2019
BA,Mata de São João,0.6456009913258984,2019
BA,Medeiros Neto,0.6907563025210084,2019
BA,Miguel Calmon,0.7567567567567568,2019
BA,Milagres,0.7438330170777988,2019
BA,Monte Santo,0.7241379310344828,2019
BA,Morro do Chapéu,0.7480647431386348,2019
BA,Mucuri,0.6843537414965987,2019
BA,Muritiba,0.7604017216642754,2019
BA,Mutuípe,0.7696245733788396,2019
BA,Nazaré,0.730553827006845,2019
BA,Nova Viçosa,0.7057613168724279,2019
BA,Oliveira dos Brejinhos,0.7941176470588235,2019
BA,Palmas de Monte Alto,0.7820773930753564,2019
BA,Paramirim,0.837052062204192,2019
BA,Paratinga,0.7487684729064039,2019
BA,Paripiranga,0.795788130185067,2019
BA,Paulo Afonso,0.7428061565915681,2019
BA,Pilão Arcado,0.7368421052631579,2019
BA,Pindobaçu,0.7443609022556391,2019
BA,Pojuca,0.703961084086171,2019
BA,Porto Seguro,0.6741360691144709,2019
BA,Poções,0.7595513494567122,2019
BA,Prado,0.7027417027417028,2019
BA,Presidente Dutra,0.7724550898203593,2019
BA,Presidente Tancredo Neves,0.734920634920635,2019
BA,Remanso,0.804503582395087,2019
BA,Riacho de Santana,0.7688483844241922,2019
BA,Riachão das Neves,0.7084548104956269,2019
BA,Riachão do Jacuípe,0.7946513849092646,2019
BA,Ribeira do Pombal,0.7397441552712837,2019
BA,Rio Real,0.7681912681912682,2019
BA,Rio de Contas,0.7957894736842105,2019
BA,Ruy Barbosa,0.6951702296120348,2019
BA,Salvador,0.6971010535417662,2019
BA,Santa Maria da Vitória,0.7569296375266524,2019
BA,Santa Rita de Cássia,0.7653478854024557,2019
BA,Santaluz,0.7381590705987489,2019
BA,Santana,0.7973760932944607,2019
BA,Santo Amaro,0.7207792207792207,2019
BA,Santo Antônio de Jesus,0.7306059436511,2019
BA,Santo Estêvão,0.7764807609165586,2019
BA,Sapeaçu,0.7566988210075026,2019
BA,Seabra,0.7419354838709677,2019
BA,Senhor do Bonfim,0.7335733573357336,2019
BA,Sento Sé,0.7610294117647058,2019
BA,Serra Dourada,0.7689393939393939,2019
BA,Serra do Ramalho,0.6843177189409368,2019
BA,Serrinha,0.7175785797438883,2019
BA,Simões Filho,0.6984910836762689,2019
