ANO,TP_COR_RACA,UF,INSCRICOES,PARTICIPANTES
2021,5,RJ,589,333
2021,5,RN,266,168
2021,5,RO,336,136
2021,5,RR,370,165
2021,5,RS,226,124
2021,5,SC,204,93
2021,5,SE,268,171
2021,5,SP,1366,777
2021,5,TO,228,129
2021,6,ES,2,1
2021,6,MG,1,1
2021,6,MT,1,0
2021,6,RN,1,0
2022,0,AC,446,315
2022,0,AL,1423,947
2022,0,AM,1737,849
2022,0,AP,405,251
2022,0,BA,5395,3583
2022,0,CE,6270,3628
2022,0,DF,1480,1039
2022,0,ES,855,545
2022,0,GO,3923,2058
2022,0,MA,1954,1251
2022,0,MG,5554,3718
2022,0,MS,733,453
2022,0,MT,1166,690
2022,0,PA,4017,2690
2022,0,PB,1941,1283
2022,0,PE,3531,2240
2022,0,PI,1628,1139
2022,0,PR,2776,1669
2022,0,RJ,4837,3142
2022,0,RN,1350,895
2022,0,RO,694,398
2022,0,RR,164,95
2022,0,RS,2524,1563
2022,0,SC,1388,856
2022,0,SE,1350,962
2022,0,SP,6828,4287
2022,0,TO,498,325
2022,1,AC,4766,3212
2022,1,AL,17633,12825
2022,1,AM,14397,8420
2022,1,AP,4840,3261
2022,1,BA,54453,40783
2022,1,CE,59765,45523
2022,1,DF,26138,19035
2022,1,ES,26217,18978
2022,1,GO,52224,36595
2022,1,MA,28955,20693
2022,1,MG,142230,104939
2022,1,MS,20834,14164
2022,1,MT,20781,14213
2022,1,PA,41485,29537
2022,1,PB,35014,26056
2022,1,PE,63995,46950
2022,1,PI,19273,14585
2022,1,PR,101585,70248
2022,1,RJ,116959,84387
2022,1,RN,35238,25859
2022,1,RO,9158,6091
2022,1,RR,1979,1300
2022,1,RS,119246,82086
2022,1,SC,62495,44211
2022,1,SE,14119,10934
2022,1,SP,327198,236526
2022,1,TO,7104,5007
2022,2,AC,2399,1461
2022,2,AL,7179,4681
2022,2,AM,4283,2066
2022,2,AP,2816,1745
2022,2,BA,69655,45814
2022,2,CE,16109,10680
2022,2,DF,8500,5377
2022,2,ES,8910,5212
2022,2,GO,15508,8839
2022,2,MA,17546,11266
2022,2,MG,37767,23371
2022,2,MS,3188,1785
2022,2,MT,7246,4185
2022,2,PA,24306,15608
2022,2,PB,9118,6054
2022,2,PE,22124,14459
2022,2,PI,11154,7621
2022,2,PR,6992,4076
