ANO,Q022,UF,INSCRICOES,PARTICIPANTES
2023,D,PA,51193,37263
2023,D,PB,29951,22919
2023,D,PE,57716,43012
2023,D,PI,25110,18791
2023,D,PR,57558,41948
2023,D,RJ,84775,60258
2023,D,RN,27795,21478
2023,D,RO,10477,7339
2023,D,RR,2648,1807
2023,D,RS,53141,39939
2023,D,SC,32721,24195
2023,D,SE,16768,12949
2023,D,SP,202355,148397
2023,D,TO,9336,6599
2023,E,AC,3742,2666
2023,E,AL,13639,10406
2023,E,AM,15230,8874
2023,E,AP,4734,3462
2023,E,BA,46296,35604
2023,E,CE,36506,28984
2023,E,DF,21399,16622
2023,E,ES,18400,13799
2023,E,GO,38974,28121
2023,E,MA,23572,17656
2023,E,MG,93107,71628
2023,E,MS,10889,8221
2023,E,MT,15640,11369
2023,E,PA,32494,24990
2023,E,PB,18529,14826
2023,E,PE,37849,29511
2023,E,PI,16156,12826
2023,E,PR,48280,36172
2023,E,RJ,62652,46864
2023,E,RN,17549,14175
2023,E,RO,7387,5319
2023,E,RR,2415,1720
2023,E,RS,33351,25619
2023,E,SC,24466,18329
2023,E,SE,9646,7803
2023,E,SP,181371,137310
2023,E,TO,7116,5293
