ANO,Q024,UF,INSCRICOES,PARTICIPANTES
2021,D,MA,1801,1482
2021,D,MG,16213,13443
2021,D,MS,1688,1421
2021,D,MT,2023,1648
2021,D,PA,2738,2256
2021,D,PB,2607,2251
2021,D,PE,5013,4306
2021,D,PI,1590,1357
2021,D,PR,9165,7282
2021,D,RJ,12844,10524
2021,D,RN,2393,2033
2021,D,RO,726,569
2021,D,RR,288,233
2021,D,RS,8165,6750
2021,D,SC,5141,4159
2021,D,SE,1228,1022
2021,D,SP,35738,30250
2021,D,TO,802,668
2021,E,AC,120,99
2021,E,AL,581,491
2021,E,AM,630,471
2021,E,AP,219,176
2021,E,BA,2448,2102
2021,E,CE,2094,1790
2021,E,DF,3732,3008
2021,E,ES,1274,1065
2021,E,GO,1894,1600
2021,E,MA,672,554
2021,E,MG,7714,6542
2021,E,MS,669,570
2021,E,MT,867,718
2021,E,PA,1080,896
2021,E,PB,1217,1063
2021,E,PE,2672,2307
2021,E,PI,663,566
2021,E,PR,4562,3676
2021,E,RJ,6983,5808
2021,E,RN,1115,973
2021,E,RO,283,230
2021,E,RR,127,111
2021,E,RS,3820,3187
2021,E,SC,2254,1877
2021,E,SE,523,440
2021,E,SP,20879,17992
2021,E,TO,320,272
2022,A,AC,14240,8437
2022,A,AL,38869,24771
2022,A,AM,52454,24291
2022,A,AP,14630,8590
2022,A,BA,153648,100956
2022,A,CE,150660,98986
2022,A,DF,18631,10920
2022,A,ES,22931,13477
2022,A,GO,61144,33648
2022,A,MA,91920,60117
2022,A,MG,102143,62430
2022,A,MS,19870,10862
2022,A,MT,25134,13856
2022,A,PA,139994,88810
2022,A,PB,58924,39239
2022,A,PE,110519,71397
2022,A,PI,53040,36520
2022,A,PR,44781,25289
2022,A,RJ,92768,54454
2022,A,RN,44068,29296
2022,A,RO,15650,8490
2022,A,RR,4035,1997
2022,A,RS,46804,26939
2022,A,SC,22554,12492
2022,A,SE,35737,24700
2022,A,SP,155809,88163
2022,A,TO,15983,9419
2022,B,AC,6582,4484
2022,B,AL,19527,14170
2022,B,AM,22211,12758
2022,B,AP,6063,4138
2022,B,BA,88576,63985
2022,B,CE,57456,42742
2022,B,DF,27592,18848
2022,B,ES,29130,19935
2022,B,GO,59465,40080
2022,B,MA,33125,23828
2022,B,MG,146897,103821
2022,B,MS,18145,12060
2022,B,MT,25342,16745
2022,B,PA,50193,35779
2022,B,PB,33744,24837
2022,B,PE,59411,43106
2022,B,PI,24396,18142
2022,B,PR,69945,47532
2022,B,RJ,109003,75822
2022,B,RN,33738,24594
2022,B,RO,12759,8403
2022,B,RR,3048,1889
2022,B,RS,73813,50503
2022,B,SC,40018,27743
2022,B,SE,17311,12992
2022,B,SP,252093,176130
2022,B,TO,10020,6989
2022,C,AC,1266,952
2022,C,AL,3734,2985
2022,C,AM,4246,2724
2022,C,AP,1345,1017
2022,C,BA,15722,12285
2022,C,CE,11884,9506
2022,C,DF,10508,7888
2022,C,ES,7755,5881
2022,C,GO,14438,10844
2022,C,MA,5544,4312
2022,C,MG,40074,31211
2022,C,MS,4450,3382
2022,C,MT,6156,4521
2022,C,PA,8682,6779
2022,C,PB,6885,5514
2022,C,PE,12243,9744
2022,C,PI,4828,3860
2022,C,PR,22759,17081
2022,C,RJ,30459,23415
2022,C,RN,6944,5395
2022,C,RO,2560,1896
2022,C,RR,905,678
2022,C,RS,21110,15907
2022,C,SC,13160,9980
2022,C,SE,3541,2887
2022,C,SP,82907,65005
2022,C,TO,2374,1817
2022,D,AC,389,305
2022,D,AL,1278,1058
2022,D,AM,1414,977
2022,D,AP,453,354
2022,D,BA,5102,4147
2022,D,CE,4342,3500
2022,D,DF,5315,4215
2022,D,ES,2704,2123
2022,D,GO,4632,3701
2022,D,MA,1695,1370
2022,D,MG,14057,11495
2022,D,MS,1563,1271
2022,D,MT,2009,1570
2022,D,PA,2732,2234
2022,D,PB,2582,2181
2022,D,PE,4941,4055
2022,D,PI,1533,1284
2022,D,PR,8575,6686
