ANO,TP_ESCOLA,UF,INSCRICOES,PARTICIPANTES
2023,2,BA,72531,54905
2023,2,CE,100976,75072
2023,2,DF,19301,14782
2023,2,ES,24830,18631
2023,2,GO,61550,36704
2023,2,MA,47409,34547
2023,2,MG,90592,66482
2023,2,MS,15405,11260
2023,2,MT,21997,15246
2023,2,PA,52585,40079
2023,2,PB,30066,21257
2023,2,PE,60499,45246
2023,2,PI,25736,19954
2023,2,PR,66311,46477
2023,2,RJ,65977,44888
2023,2,RN,21030,17130
2023,2,RO,13561,9181
2023,2,RR,2919,1920
2023,2,RS,48616,37028
2023,2,SC,34436,24010
2023,2,SE,15266,11953
2023,2,SP,189403,129375
2023,2,TO,11478,7886
2023,3,AC,428,410
2023,3,AL,4154,3995
2023,3,AM,2053,1858
2023,3,AP,648,616
2023,3,BA,14394,13892
2023,3,CE,7982,7645
2023,3,DF,6748,6427
2023,3,ES,3594,3346
2023,3,GO,8118,7590
2023,3,MA,3834,3680
2023,3,MG,18878,18207
2023,3,MS,2452,2292
2023,3,MT,3104,2925
2023,3,PA,7787,7490
2023,3,PB,5346,5225
2023,3,PE,9286,8918
2023,3,PI,3960,3867
2023,3,PR,12786,11549
2023,3,RJ,27136,25557
2023,3,RN,4681,4565
2023,3,RO,769,729
2023,3,RR,295,275
2023,3,RS,9984,9447
2023,3,SC,8270,7602
2023,3,SE,3105,3000
2023,3,SP,63885,59365
2023,3,TO,942,856
