NU_ANO,SG_UF_PROVA,QUANTIDADE_PESSOAS,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2020,PA,153701,467.78127793573236,485.68500204943365,499.0991483464649,478.1470380804289,554.0624979668318
2020,PB,85846,477.85300305197677,497.68960930037514,510.9794923467605,501.78331197726163,577.3037765300654
2020,PE,153161,481.896273855616,500.36949027493944,518.1990663419539,510.5296864084199,570.8498899850484
2020,PI,67757,471.0775181900025,488.9532092625116,502.2682630576915,492.0512286553419,569.1730743686999
2020,PR,107108,507.9949331515853,536.5144274937446,541.786908540912,546.8588658176793,581.4137132613811
2020,RJ,173309,501.4387048566433,530.1867381382386,542.6086914124483,537.5673329140437,605.1746879850441
2020,RN,66142,486.7464818118593,507.0742236400472,520.7769344743128,515.2563409029059,583.4679931057422
2020,RO,22753,476.5607612183009,493.0473915527623,507.00323034325146,492.1680042192238,537.3928712697227
2020,RR,6199,478.45239554766897,499.5159864494273,512.8146797870625,491.9787869011131,536.1058235199225
2020,RS,111590,497.2977426292679,530.3934106998835,541.2133874003047,536.8996101801237,587.4205573976162
2020,SC,52529,509.8368729654096,538.9128138742409,542.7654838279808,552.0651392564107,592.2941613204135
2020,SE,44645,481.41325120394225,498.25323104490985,510.13843655504536,498.0721066188823,589.5038638145369
2020,SP,382903,512.5864477426397,542.0654131725267,551.823964293829,558.31780868784,601.4650707881631
2020,TO,24783,469.2804018883912,487.2435540491466,503.5332122826131,488.844704030989,547.1363434612435
2021,AC,12718,469.6160088064161,501.06985375058974,485.2527284164177,495.81481364994494,589.8443151438905
2021,AL,38703,476.66529209621996,504.3054905304498,486.44394233005187,516.8666356613182,617.3578275585872
2021,AM,44560,460.48076526032315,486.2682226211849,472.2537253141831,486.4197508976661,543.939856373429
2021,AP,12997,467.75990613218437,499.0775717473263,476.6448565053474,491.4805031930445,583.2638301146418
2021,BA,174793,480.0143306654157,509.09983008472875,491.1947686692259,513.6126149216502,613.8861396051329
2021,CE,142823,477.33550548581115,507.53935220517707,492.819267204862,521.7879193127158,599.5611351112916
2021,DF,45005,508.8048950116654,543.2508632374181,525.2678302410843,552.3033174091768,630.812131985335
2021,ES,42048,503.9523663432268,533.4734517694063,512.7814069634703,549.5638674847793,635.1141552511416
2021,GO,83844,487.19959090692237,517.7535220170793,500.54239420829157,527.8833762702161,624.701588664663
2021,MA,84915,466.05264911970795,491.4873155508449,474.41953365129837,496.26004239533654,595.8419596066655
2021,MG,219297,508.72595612343076,542.2282644085418,521.5604048390994,562.1231649315769,656.0835761547125
2021,MS,26855,488.6835933718116,515.7290113572891,499.96846397318933,529.1525228076708,605.1595606032396
2021,MT,35031,483.76998087408293,512.8925266192801,492.4437755131169,521.1574719534126,598.5173132368474
2021,PA,119357,469.5728185192322,497.7642693767437,474.87141851755655,494.84362207495167,604.2258099650628
2021,PB,70800,479.22617655367225,506.83264971751413,487.53804661016954,518.0762641242937,622.288418079096
2021,PE,131527,481.0289028108297,508.00831236172036,493.8289164962327,524.3875303169692,611.2820941707786
2021,PI,56661,473.7816628721696,498.04605460546054,480.86063606360636,510.98746933516884,621.5742750745662
